titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,id
Blowin' In The Wind,Bob Dylan,1963,94.0,147.0,179.0,195.0,211.0,194.0,205.0,188.0,168.0,173.0,210.0,199.0,262.0,317.0,331.0,488.0,412.0,417.0,549.0,605.0,18GiV1BaXzPVYpp9rmOg0E
Dust In The Wind,Kansas,1978,95.0,183.0,338.0,161.0,127.0,227.0,210.0,221.0,254.0,197.0,311.0,375.0,330.0,250.0,219.0,224.0,213.0,235.0,214.0,263.0,6zeE5tKyr8Nu882DQhhSQI
Eternal Flame,Bangles,1989,96.0,138.0,104.0,199.0,244.0,205.0,334.0,440.0,383.0,295.0,431.0,427.0,546.0,835.0,814.0,666.0,774.0,662.0,775.0,1120.0,5MoDQWMDMaAGDEiWsJfeCi
Strawberry Fields Forever,Beatles,1967,97.0,131.0,180.0,214.0,207.0,259.0,261.0,187.0,183.0,189.0,204.0,247.0,271.0,308.0,301.0,395.0,322.0,387.0,505.0,587.0,3Am0IbOxmvlSXro7N5iSfZ
Against All Odds (Take A Look At Me Now),Phil Collins,1984,98.0,152.0,132.0,153.0,159.0,170.0,238.0,230.0,395.0,215.0,274.0,308.0,394.0,240.0,307.0,370.0,393.0,352.0,282.0,320.0,63CHa6rmamv9OsehkRD8oz
Every Breath You Take,Police,1983,99.0,166.0,167.0,184.0,259.0,284.0,434.0,403.0,412.0,340.0,381.0,351.0,345.0,356.0,210.0,330.0,386.0,318.0,290.0,286.0,1JSTJqkT5qHq8MDJnJbRE1
Eloise,Barry Ryan,1968,100.0,97.0,83.0,117.0,108.0,141.0,127.0,145.0,70.0,110.0,258.0,261.0,365.0,410.0,553.0,566.0,707.0,805.0,851.0,1134.0,1svB1gR5yFsNgoBxRevt3n
Waterloo,ABBA,1974,101.0,182.0,467.0,607.0,605.0,512.0,299.0,546.0,419.0,452.0,701.0,728.0,918.0,783.0,836.0,890.0,772.0,742.0,660.0,413.0,0RzhMHIsFMbOGh0oWDvNNK
Verdronken Vlinder,Boudewijn De Groot,1966,102.0,95.0,95.0,72.0,47.0,65.0,51.0,62.0,63.0,55.0,105.0,109.0,153.0,238.0,232.0,251.0,298.0,300.0,360.0,398.0,1IODGOhu2nUD36SR1SRSFT
Jeanny,Falco,1985,103.0,58.0,67.0,70.0,94.0,101.0,143.0,141.0,207.0,133.0,188.0,182.0,169.0,165.0,193.0,132.0,153.0,107.0,102.0,131.0,6a0lr0jt8lKDJhsAYA49NS
If You Leave Me Now,Chicago,1976,104.0,103.0,103.0,119.0,218.0,165.0,214.0,250.0,222.0,194.0,288.0,252.0,383.0,634.0,677.0,627.0,716.0,550.0,597.0,806.0,0KMGxYKeUzK9wc5DZCt3HT
32 Jaar (Sinds 1 Dag Of 2),Doe Maar,1981,105.0,203.0,367.0,366.0,338.0,363.0,424.0,449.0,450.0,395.0,509.0,566.0,439.0,172.0,531.0,678.0,584.0,605.0,626.0,461.0,1ksgGtjAPqTIC5pvhPOZE6
"Non, Je Ne Regrette Rien",Edith Piaf,1961,106.0,234.0,403.0,507.0,312.0,313.0,309.0,236.0,158.0,224.0,277.0,328.0,263.0,413.0,363.0,427.0,460.0,622.0,582.0,577.0,3dkIE8P7hvl3tHl9KSb6dA
All Along The Watchtower,Jimi Hendrix Experience,1968,107.0,130.0,242.0,146.0,146.0,136.0,162.0,158.0,147.0,142.0,120.0,138.0,131.0,123.0,97.0,156.0,160.0,179.0,179.0,137.0,2aoo2jlRnM3A0NyLQqMN2f
Stayin' Alive,Bee Gees,1978,108.0,153.0,101.0,255.0,284.0,277.0,409.0,434.0,503.0,357.0,489.0,407.0,455.0,633.0,533.0,579.0,525.0,399.0,388.0,481.0,4UDmDIqJIbrW0hMBQMFOsM
Con Te Partiro,Andrea Bocelli,1996,109.0,,155.0,251.0,364.0,248.0,326.0,373.0,135.0,228.0,755.0,493.0,556.0,735.0,706.0,898.0,697.0,724.0,779.0,912.0,7zrpoAJte9o12TzawqgdD0
Hello,Lionel Richie,1984,110.0,267.0,351.0,430.0,480.0,305.0,550.0,489.0,694.0,483.0,666.0,665.0,682.0,753.0,905.0,894.0,912.0,1044.0,1023.0,1191.0,0mHyWYXmmCB9iQyK18m3FQ
In The Ghetto,Elvis Presley,1969,111.0,163.0,247.0,168.0,112.0,158.0,114.0,157.0,186.0,140.0,203.0,216.0,245.0,292.0,266.0,321.0,261.0,248.0,203.0,241.0,7KWoeBqSdZHEloYKVxssfG
