titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,id
Everybody's Changing,Keane,2004,,,,,,,,1162.0,555.0,1438.0,750.0,769.0,954.0,901.0,761.0,1019.0,1037.0,1153.0,1107.0,1359.0,5hkdfA87RZvNaxl6XiveOA
Down On The Corner,Creedence Clearwater Revival,1969,,,,,,,,1180.0,1256.0,1837.0,1281.0,1072.0,1275.0,1267.0,1409.0,1629.0,1553.0,1606.0,1542.0,1406.0,2gE95JskwQ1pCACTpGe1Db
Fairground,Simply Red,1995,,,,,,,,1181.0,1434.0,1878.0,1019.0,1073.0,1029.0,980.0,1215.0,1266.0,1310.0,1522.0,1523.0,1977.0,3lghqWELEWj9yEPvme7c4W
Let's Stay Together,Al Green,1971,,,,,,,,1200.0,826.0,1702.0,1347.0,1071.0,1132.0,1122.0,1133.0,1394.0,1295.0,1181.0,1252.0,1574.0,63xdwScd1Ai1GigAwQxE8y
Het Is Koud Zonder Jou,André Hazes,1980,,,,,,,,1206.0,1150.0,1818.0,,1870.0,1987.0,1648.0,1844.0,1836.0,1957.0,1881.0,1856.0,1446.0,22bJjR1dyAld2KD1o2YnFt
Shiny Happy People,R.E.M.,1991,,,,,,,,1210.0,1367.0,1871.0,1038.0,1013.0,861.0,1375.0,1152.0,1200.0,1162.0,1132.0,1240.0,1419.0,1v2zyAJrChw5JnfafSkwkJ
Speed Of Sound,Coldplay,2005,,,,,,,,1216.0,334.0,1140.0,542.0,636.0,591.0,737.0,704.0,826.0,910.0,1069.0,1197.0,1121.0,7clUVcSOtkNWa58Gw5RfD4
Sunrise,Simply Red,2003,,,,,,,,1239.0,1537.0,1921.0,1443.0,1442.0,1495.0,1632.0,1490.0,1809.0,1615.0,1888.0,1863.0,1602.0,0jGVEPscW8KmqktoHqv2Pa
Supreme,Robbie Williams,2001,,,,,,,,1251.0,1655.0,1938.0,1848.0,,,,1788.0,,,,,,4dZ3V71vsqSn9MJ18y8YaJ
I Don't Believe In Miracles,Colin Blunstone,1972,,,,,,,,1274.0,1466.0,1907.0,1393.0,1716.0,1840.0,,,,,,,,0cK6APatHRmWY8q7E0J1Sd
New York Minute,Don Henley,1989,,,,,,,,1295.0,1148.0,1843.0,1296.0,1380.0,1143.0,1234.0,1208.0,1106.0,1286.0,1320.0,1437.0,1894.0,2jxqu3v4AZAhUNvdAbDGet
Adios Nonino,Carel Kraayenhof ,2002,,,,,,,,1310.0,999.0,1800.0,1596.0,1263.0,1299.0,1218.0,1955.0,1693.0,,,,,3ur6uwhuD27sSoiunJ2y6U
All I Want For Christmas Is You,Mariah Carey,1994,,,,,,,,1338.0,1024.0,1819.0,1096.0,1123.0,1246.0,1189.0,1149.0,1307.0,1093.0,1074.0,1019.0,814.0,0bYg9bo50gSsH3LtXe2SQn
Alegria,Cirque du Soleil ,1997,,,,,,,,1372.0,1228.0,1877.0,1792.0,1768.0,1541.0,1133.0,1591.0,,,,,,3NBwVbWQgGaeitzznzWiyI
Ice Cream,Chris Barber's Jazz Band,1958,,,,,,,,1387.0,1334.0,1914.0,,,,,,,,,,,6pdTqJGwLpwvhM3SBfuv9Y
One Love - People Get Ready,Bob Marley & The Wailers,1984,,,,,,,,1400.0,1154.0,1863.0,1172.0,1223.0,825.0,820.0,1117.0,1398.0,1200.0,1531.0,1628.0,1318.0,2HcyIzVsX45jLIxK7SH2aI
Sex Bomb,Tom Jones & Mousse T.,1999,,,,,,,,1438.0,1651.0,1974.0,1676.0,1542.0,1856.0,1768.0,1928.0,,,,,,3dwCjlYIBJem5zIAHbBDfH
Life's What You Make It,Talk Talk,1985,,,,,,,,1463.0,1494.0,1953.0,1101.0,1151.0,1055.0,1120.0,1028.0,926.0,920.0,1046.0,876.0,1156.0,2iWTHXaFtRSMhd5OLpYD7f
Can't Get Enough,Bad Company,1974,,,,,,,,1483.0,,,1708.0,1603.0,1558.0,,,,,,,,6n5lHdpuBDdA7pYDpiKzEI
Calling Elvis,Dire Straits,1991,,,,,,,,1484.0,1565.0,1967.0,1530.0,1493.0,1808.0,1421.0,1551.0,1708.0,1838.0,,,,5g6o2ZEegnAI3MczbwZaTZ
De Clown,Ben Cramer,1971,,,,,,,,1486.0,1018.0,1846.0,1815.0,,,,,,,,,,4R0i3XTr6ggZYWG14dVYDX
Met Hart en Ziel,Tröckener Kecks,1990,,,,,,,,1509.0,1392.0,1945.0,1479.0,1545.0,1406.0,1539.0,1564.0,1403.0,1559.0,1886.0,1787.0,1839.0,27zNKTPGfGAuMYmJ0Y6syY
California Girls,Beach Boys,1965,,,,,,,,1516.0,1143.0,1890.0,1286.0,1248.0,1294.0,1446.0,1937.0,,,,,,6bJuuCtXYiwOcKT9s8uRh8
Moonlight Serenade,Glenn Miller,1939,,,,,,,,1521.0,1883.0,,,,,,,,,,,,3ziJFd6JeioC8Xfct0UXpJ
I'm Walking,Fats Domino,1957,,,,,,,,1558.0,1796.0,,,,,,,,,,,,2wFLCxMDUghtqSb4AiepRc
I Would Die 4 U,Prince & The Revolution,1984,,,,,,,,1585.0,1703.0,1993.0,1791.0,1330.0,1405.0,1194.0,1257.0,1536.0,1508.0,640.0,999.0,984.0,6fBwVe6udYdnRqwqo06if8
Als Je Wint,Herman Brood & Henny Vrienten,1984,,,,,,,,1586.0,,,,,1957.0,1495.0,1897.0,1989.0,1885.0,,,,06sDL0dFjpph6wvbAaOLPF
I Got You I Feel Good,James Brown,1966,,,,,,,,1603.0,1734.0,2000.0,1761.0,1531.0,1550.0,,,,,,,,5haXbSJqjjM0TCJ5XkfEaC
Dream On,Aerosmith,1973,,,,,,,,1632.0,133.0,708.0,208.0,191.0,189.0,243.0,205.0,225.0,204.0,164.0,154.0,189.0,5MxNLUsfh7uzROypsoO5qe
C'est Ma Vie,Adamo,1976,,,,,,,,1633.0,1088.0,1898.0,,,,,,,,,,,6VJzONpOl2bzjOrbqJW2Sf
The Story In Your Eyes,Moody Blues,1971,,,,,,,,1651.0,,,1601.0,,1955.0,1825.0,1429.0,1512.0,,,,,3kcaix8VptngsWoYDTqEN2
Traveling In The USA,Bintangs,1970,,,,,,,,1659.0,1183.0,1929.0,1977.0,1857.0,,,,,,,,,2uI9Y14I02IjcwnMTPE9Y3
Don't Stand So Close To Me,Police,1980,,,,,,,,1660.0,1728.0,,1417.0,1465.0,1466.0,1451.0,1290.0,1565.0,1687.0,1596.0,1623.0,1763.0,5veJDT0MLsLbhYsx42GXUD
Linda,Frank Boeijen,1983,,,,,,,,1710.0,,,,,,,,,,,,,5aAN3mwJrFP8XOBDvWM55y
Everytime We Say Goodbye,Ella Fitzgerald,1956,,,,,,,,1715.0,1911.0,,,,,,,,,,,,2QF1EyIptSjIZY80HfEaEj
There Goes My heart Again,Fats Domino,1963,,,,,,,,1732.0,1696.0,,,,,,,,,,,,
Refugee,Tom Petty & The Heartbreakers,1980,,,,,,,,1736.0,1645.0,,1841.0,1728.0,1651.0,1478.0,1437.0,1618.0,1944.0,,1273.0,1821.0,4mcZYzoGwPRDdhWVlygiHf
Le Moribond,Jacques Brel,1961,,,,,,,,1743.0,1753.0,,,,,,,,,,,,4oBfKd4hBKysgQq1khJPWt
Twisting By The Pool,Dire Straits,1983,,,,,,,,1748.0,1924.0,,,,,,,,,,,,6tM6gqc1liYA4403w1nyCc
Ik Ben Zo Eenzaam Zonder Jou,Will Tura,1963,,,,,,,,1749.0,1453.0,1983.0,,,,,,,,,,,
Green Onions,Booker T & The MG's,1962,,,,,,,,1750.0,1471.0,1985.0,1460.0,1598.0,1417.0,1623.0,1492.0,1807.0,1913.0,1934.0,,,4fQMGlCawbTkH9yPPZ49kP
To All The Girls I've Loved Before,Willie Nelson & Julio Iglesias,1984,,,,,,,,1756.0,,,,,,,,,,,,,0uBwcaTkY1BPpIZhxuhS67
Rapper's Delight,Sugarhill Gang,1979,,,,,,,,1795.0,1886.0,,,,1725.0,1589.0,1267.0,1360.0,1479.0,1585.0,1624.0,1684.0,0FWhGmPVxLI6jOVF0wjALa
Met De Vlam In De Pijp,Henk Wijngaard,1978,,,,,,,,1804.0,1657.0,,,,,,,,,,,,3vm3uBMQiPEENSsDPxQzbG
Missing,Everything but the girl,1995,,,,,,,,1822.0,1907.0,,,,,,,,,,,,79WrmdVsLbwRTUCiH7cPsa
5 Uur,Ramses Shaffy,1966,,,,,,,,1823.0,,,444.0,1385.0,1678.0,1757.0,1977.0,,,,,,3rEOurKe33ysAiljkEP6sa
Laat Mij Maar Alleen,Klein Orkest,1982,,,,,,,,1838.0,,,1951.0,1960.0,,,,,,,,,0ndqs8Eugjiefh2YRJQrMU
Street Fighting Man,Rolling Stones,1968,,,,,,,,1840.0,,,,,,,,,,,,,7EXgO1bRnEArE58rtrgMWB
Als De Morgen Is Gekomen,Jan Smit,2006,,,,,,,,1855.0,131.0,725.0,316.0,526.0,632.0,985.0,1155.0,1328.0,1752.0,1979.0,,,7HPkvsnyQqQ6PmpLk7D7IR
Sukiyaki,Kyu Sakamoto,1963,,,,,,,,1870.0,,,1662.0,1533.0,1609.0,1679.0,1680.0,1622.0,1713.0,,,,6meIeOX3DHdaCnaNw67abE
For Me Formidable,Charles Aznavour,1963,,,,,,,,1909.0,1882.0,,,,,,1543.0,1951.0,1746.0,,,,7xx7mUGAPcMd6gGqHzoec9
The Killing Of Georgie,Rod Stewart,1976,,,,,,,,1919.0,,,,,,,,,,,,,6vNjM0B50Q9Aotm9hrzfAa
That Don't Impress Me Much,Shania Twain,1999,,,,,,,,1948.0,,,,,,,,,,,,,4I7DV3MIgxJGlObiy9s6nx
Hold Your Head Up,Argent,1972,,,,,,,,1949.0,,,,,,,,,,,,,3vfIv3pvYlLOa0wKIEuqFn
99,Toto,1980,,,,,,,,1954.0,,,,,,1888.0,,,,,,,2R3E4xKmy7lyieBKONkIMT
Whole Again,Atomic Kitten,2001,,,,,,,,1960.0,1817.0,,,,,,,,,,,,16MJqq0vEuW6GRX6faetTm
The Look Of Love,Dusty Springfield,1967,,,,,,,,1964.0,1935.0,,,,,,,,,,,,1Kx5LdJPpqRXKUUHBu9CTe
If You Were A Sailboat,Katie Melua,2007,,,,,,,,,101.0,696.0,693.0,716.0,1079.0,1479.0,1431.0,1773.0,,,,,1rU6EmTMGecBM6qhXODx9E
Sweet Child O' Mine,Guns N' Roses,1988,,,,,,,,,144.0,890.0,89.0,103.0,67.0,57.0,58.0,65.0,55.0,51.0,36.0,34.0,7snQQk1zcKl8gZ92AnueZW
Creep,Radiohead,1993,,,,,,,,,176.0,1018.0,283.0,130.0,129.0,116.0,115.0,102.0,117.0,75.0,65.0,87.0,6b2oQwSGFkzsMtQruIWm2p
I Don't Want To Miss A Thing,Aerosmith,1998,,,,,,,,,178.0,1030.0,441.0,294.0,278.0,419.0,369.0,378.0,356.0,384.0,420.0,530.0,225xvV8r1yKMHErSWivnow
Lopen Tot De Zon Komt,Acda & De Munnik,1997,,,,,,,,,184.0,1050.0,334.0,312.0,280.0,310.0,254.0,307.0,272.0,274.0,336.0,405.0,6svNJ2WPO69uhVOgyBr2VF
Street Spirit (Fade Out),Radiohead,1995,,,,,,,,,187.0,1078.0,92.0,132.0,142.0,125.0,99.0,141.0,134.0,145.0,152.0,183.0,5gz38AxRkD6Ywxd4fr2pLj
Relax Take It Easy,Mika,2007,,,,,,,,,188.0,1080.0,965.0,1326.0,1885.0,1851.0,,,,,,,5msFXipAG1CsK92OakSAbS
Enjoy The Silence,Depeche Mode,1990,,,,,,,,,192.0,1120.0,177.0,213.0,181.0,174.0,158.0,142.0,146.0,129.0,116.0,149.0,1YwNlWLf8auhazSQUDQLFU
Ironic,Alanis Morissette,1995,,,,,,,,,234.0,1259.0,1208.0,572.0,536.0,642.0,651.0,661.0,528.0,465.0,479.0,543.0,1d6KS9GH06JAd19uiBy9IE
Thunder Road,Bruce Springsteen,1975,,,,,,,,,250.0,1321.0,373.0,384.0,397.0,409.0,240.0,285.0,312.0,304.0,357.0,478.0,56lhDZNQ5J47aog6mGKeGk
Aanzoek Zonder Ringen,Bløf,2007,,,,,,,,,251.0,1326.0,601.0,587.0,869.0,463.0,736.0,930.0,1014.0,1246.0,1307.0,1246.0,6Cc0qQpIw9Dzm9c9GSFjRt
Rehab,Amy Winehouse,2007,,,,,,,,,322.0,1510.0,758.0,453.0,184.0,342.0,567.0,449.0,426.0,407.0,481.0,369.0,1L5tZi0izXsi5Kk5OJf4W0
Fantastig Toch,Eva De Roovere,2007,,,,,,,,,336.0,1528.0,618.0,693.0,928.0,773.0,1159.0,1299.0,1571.0,1898.0,,,4uSaSS8r2ehXyQ8oEmS3FU
You Know I'm No Good,Amy Winehouse,2007,,,,,,,,,351.0,1560.0,642.0,588.0,256.0,426.0,607.0,613.0,612.0,669.0,705.0,635.0,4zQuwW24dweWcaX0fEJkP2
Blijf Tot De Zon Je Komt Halen ,Paul De Leeuw,2007,,,,,,,,,353.0,1564.0,616.0,1059.0,1307.0,1692.0,1678.0,1865.0,1976.0,,,,0pbmUwlWX3zRxDvRdeDcLc
The Great Escape,Ilse DeLange,2007,,,,,,,,,357.0,1575.0,773.0,626.0,951.0,948.0,1142.0,1522.0,,,,,5OhhLKC7vDIrqgvlZu8fJ0
Papa Can You Hear Me?,Barbra Streisand,1983,,,,,,,,,358.0,1577.0,532.0,465.0,627.0,793.0,895.0,904.0,1090.0,1255.0,1187.0,1700.0,4FkBydqPtECsV1O5z2VIpZ
Grace Kelly,Mika,2007,,,,,,,,,364.0,1606.0,670.0,1017.0,1449.0,1401.0,1578.0,1845.0,1986.0,,,,7dzUZec5MnWMyQnk5klnKR
Bad,U2,1984,,,,,,,,,365.0,1608.0,171.0,162.0,213.0,166.0,171.0,155.0,159.0,188.0,158.0,194.0,3fOsKEaGwhp9TRgJnrMA2z
Hemingway,Bløf,2007,,,,,,,,,380.0,1643.0,797.0,776.0,1114.0,1073.0,1205.0,1382.0,1602.0,1672.0,1779.0,1880.0,0UYgUTN6DpaHqeSaru3Gqw
Mr. Jones,Counting Crows,1994,,,,,,,,,391.0,1666.0,662.0,643.0,611.0,708.0,568.0,717.0,715.0,485.0,708.0,804.0,5DiXcVovI0FcY2s0icWWUu
Tranen Gelachen,Guus Meeuwis,2007,,,,,,,,,394.0,1675.0,399.0,420.0,497.0,713.0,663.0,765.0,690.0,873.0,1050.0,967.0,7cBDXLHuTYmY63gEh04UhX
Vrienden Voor Het Leven,Jan Smit,2005,,,,,,,,,414.0,1706.0,778.0,1364.0,1149.0,1859.0,1916.0,,,,,,0TRLrs1eNT25snja7VaOnS
Everything,Michael Bublé,2007,,,,,,,,,424.0,1721.0,219.0,524.0,798.0,795.0,941.0,1119.0,1427.0,1759.0,1942.0,1495.0,4T6HLdP6OcAtqC6tGnQelG
Lost,Michael Bublé,2007,,,,,,,,,432.0,1730.0,582.0,1043.0,1342.0,1374.0,1594.0,1784.0,,,,,6vhYDNMZgffPwcdXdvMqCS
Sometimes You Can't Make It On Your Own,U2,2004,,,,,,,,,445.0,1746.0,839.0,787.0,844.0,1150.0,744.0,1001.0,1052.0,1445.0,1502.0,1812.0,6fzcnVO0X2cpYjsHk19GJo
Goodbye My Lover,James Blunt,2005,,,,,,,,,453.0,1753.0,745.0,709.0,770.0,762.0,841.0,1056.0,1047.0,1204.0,1309.0,1616.0,6gxycjJNMgmAyfzUXBN80P
Flink Zijn,Robert Long,1977,,,,,,,,,485.0,1784.0,636.0,795.0,815.0,1088.0,1092.0,929.0,904.0,1105.0,875.0,971.0,
Vertigo,U2,2004,,,,,,,,,486.0,1785.0,637.0,606.0,709.0,724.0,708.0,1023.0,1192.0,1286.0,1148.0,1250.0,57ZXcBtCZXSg9TVV5xRdnR
Rockin' In The Free World,Neil Young,1989,,,,,,,,,491.0,1789.0,367.0,286.0,359.0,359.0,287.0,358.0,269.0,316.0,342.0,368.0,4Y7fEQ4PAzhlLnLviRw2P4
A Long December,Counting Crows,1996,,,,,,,,,519.0,1824.0,746.0,848.0,807.0,859.0,892.0,1085.0,1082.0,1202.0,1374.0,1844.0,1tjKIXd7DYNklhVSgBxREi
Alive,Meat Loaf,2006,,,,,,,,,532.0,1830.0,,,,,,,,,,,2ThDrmGalG6w6YXja5qw6x
Swim With Sam,A Balladeer,2006,,,,,,,,,550.0,,1184.0,1096.0,958.0,1360.0,1411.0,1544.0,1711.0,1739.0,1629.0,,5t8OpBwNp7x1FS5CDYhq2y
Only Time,Enya,2000,,,,,,,,,583.0,1866.0,846.0,873.0,805.0,710.0,672.0,670.0,610.0,981.0,1039.0,980.0,6FLwmdmW77N1Pxb1aWsZmO
London Calling,Clash,1979,,,,,,,,,589.0,1864.0,659.0,781.0,580.0,560.0,496.0,565.0,675.0,792.0,854.0,1377.0,5jzma6gCzYtKB1DbEwFZKH
Alive,Pearl Jam,1992,,,,,,,,,591.0,1870.0,49.0,202.0,95.0,59.0,57.0,59.0,61.0,44.0,37.0,55.0,1L94M3KIu7QluZe63g64rv
Dance Tonight,Paul McCartney,2007,,,,,,,,,597.0,,,,,,,,,,,,6VuK9CShxAcQn2I85wH0tU
Jerusalem,Anouk,2005,,,,,,,,,609.0,1891.0,900.0,,988.0,821.0,987.0,1137.0,1304.0,1469.0,1279.0,1257.0,7hyKCzbTTb72jmZx6AoNRN
Iris,Goo Goo Dolls,1999,,,,,,,,,623.0,,513.0,575.0,369.0,333.0,278.0,380.0,302.0,334.0,346.0,299.0,6Qyc6fS4DsZjB2mRW9DsQs
The Great Gig In The Sky,Pink Floyd,1973,,,,,,,,,647.0,1925.0,355.0,370.0,360.0,312.0,252.0,286.0,307.0,403.0,408.0,444.0,2TjdnqlpwOjhijHCwHCP2d
Piece By Piece,Katie Melua,2005,,,,,,,,,667.0,,1346.0,,1748.0,,,,,,,,0skmdxHgBUsPKylFlK5FaK
Spider's Web,Katie Melua,2005,,,,,,,,,671.0,,1483.0,,1932.0,1843.0,1827.0,,,,,,47R2P5dRucrGOkPj7BSbF2
Jesus He Knows Me,Genesis,1992,,,,,,,,,675.0,,828.0,899.0,907.0,949.0,758.0,789.0,850.0,817.0,771.0,861.0,0YN4BbP8czMk6QiL62qnWT
Ik Wou Dat Ik Jou Was,Veldhuis & Kemper,2003,,,,,,,,,683.0,,761.0,849.0,763.0,900.0,888.0,924.0,1013.0,1158.0,1068.0,1016.0,5t6mxGSbrfKjocqUlsyAZH
Jij Bent Zo,Jeroen van der Boom,2007,,,,,,,,,701.0,,1821.0,,,,,,,,,,3xAT6opqXN3qHup9VtzOS5
Going To The Run,Golden Earring,1991,,,,,,,,,702.0,,703.0,696.0,648.0,536.0,471.0,553.0,564.0,592.0,529.0,689.0,42OGkTbAKfjSZxEGtGlj2s
I Can't Make You Love Me,Bonnie Raitt,1991,,,,,,,,,706.0,1957.0,1345.0,1138.0,1232.0,1137.0,619.0,1124.0,1076.0,1352.0,1254.0,1422.0,69uJi5QsBtqlYkGURTBli8
American Trilogy,Elvis Presley,1972,,,,,,,,,712.0,,849.0,870.0,1081.0,884.0,1034.0,1012.0,969.0,1348.0,1435.0,1637.0,28krgBY4VyYEzi2sxioGay
A Gentleman's Excuse Me,Fish,1990,,,,,,,,,730.0,,852.0,894.0,882.0,630.0,556.0,665.0,621.0,789.0,846.0,1037.0,4iP8ucwdavRZLeimIcwuGS
If I Ain't Got You,Alicia Keys,2003,,,,,,,,,762.0,,1937.0,1688.0,1661.0,1216.0,1744.0,,,,,1729.0,3XVBdLihbNbxUwZosxcGuJ
De Weg,Guus Meeuwis,2005,,,,,,,,,777.0,,981.0,1048.0,898.0,690.0,800.0,849.0,759.0,1091.0,1232.0,1189.0,6sBxAouPmrhtuhlulmax4T
Everytime I Think Of You,Marco Borsato & Lucie Silvas,2007,,,,,,,,,784.0,,1010.0,,,,,,,,,,44rDtHJojwlReRJ54XLs3C
Breakthru,Queen,1989,,,,,,,,,816.0,,881.0,,800.0,592.0,808.0,783.0,917.0,900.0,964.0,816.0,2HPvr5vD9rjbc0tejSmkkp
Voor Ik Vergeet,Spinvis,2002,,,,,,,,,849.0,,1012.0,1082.0,769.0,717.0,740.0,974.0,1062.0,1546.0,1356.0,,5dek7zGTA7BWqoT3WXSQws
Beautiful,Christina Aguilera,2003,,,,,,,,,867.0,,1203.0,1130.0,913.0,870.0,1265.0,1572.0,1675.0,,,1910.0,3TCauNPqFiniaYHBvEVoHG
Heaven For Everyone,Queen,1995,,,,,,,,,877.0,,993.0,,761.0,778.0,1082.0,1257.0,1231.0,1651.0,1869.0,1056.0,1gZisUSub74637T2rJmimh
You Give Me Something,James Morrison,2007,,,,,,,,,879.0,,1375.0,1599.0,1396.0,1396.0,1854.0,,,,,,28euH5Ny1JXxZAt2KjWp62
Linger,Cranberries,1993,,,,,,,,,901.0,,1239.0,1051.0,927.0,1030.0,946.0,850.0,961.0,973.0,862.0,494.0,0gEyKnHvgkrkBM6fbeHdwK
Rain Down On Me,Kane,2002,,,,,,,,,908.0,,712.0,599.0,555.0,539.0,546.0,498.0,608.0,673.0,735.0,1001.0,2rRY9uu2SQge80Ifw58cfU
That's What Friends Are For,Trijntje Oosterhuis,2007,,,,,,,,,911.0,,1605.0,1535.0,,,,,,,,,2Ir4rpYn0fTlQRp5CJXky5
Hallelujah,Jeff Buckley,1994,,,,,,,,,943.0,,51.0,60.0,73.0,68.0,78.0,99.0,101.0,91.0,114.0,147.0,3pRaLNL3b8x5uBOcsgvdqM
(Don't Fear) The Reaper,Blue Öyster Cult,1976,,,,,,,,,947.0,,1087.0,996.0,899.0,914.0,723.0,801.0,674.0,703.0,646.0,556.0,5QTxFnGygVM4jFQiBovmRo
You Give Love A Bad Name,Bon Jovi,1986,,,,,,,,,948.0,,1006.0,957.0,1032.0,1090.0,1006.0,1321.0,956.0,939.0,1045.0,743.0,0rmGAIH9LNJewFw7nKzZnc
Poetry Man,Stevie Ann,2005,,,,,,,,,966.0,,,,,,,,,,,,4aKtDqQPrRdADUvx2WIr5c
All Good Things (Come To An End),Nelly Furtado,2007,,,,,,,,,979.0,,1745.0,1986.0,,,,,,,,,6NyWT02RGO5OgT55JDjI08
Ordinary World,Duran Duran,1993,,,,,,,,,1004.0,,1169.0,1062.0,990.0,996.0,730.0,851.0,705.0,892.0,832.0,1000.0,0wokCRaKD0zPNhMRXAgVsr
Going To A Town,Rufus Wainwright,2007,,,,,,,,,1056.0,,979.0,1020.0,1039.0,1000.0,1011.0,903.0,1043.0,1275.0,1223.0,1438.0,4jgIzymHtlUCk3DkjWkvFL
Time Stood Still,Bad English ft. John Waite,1991,,,,,,,,,1095.0,,1374.0,1314.0,1284.0,1501.0,1569.0,1405.0,1352.0,1237.0,1843.0,,4EEDZssGjSmobbSqJWZP0I
Take The Long Way Home,Supertramp,1979,,,,,,,,,1115.0,,1041.0,1089.0,1115.0,1023.0,875.0,1075.0,1111.0,1228.0,1027.0,915.0,0v0XYK0pLgsPiq5u4FKHaw
Paradise City,Guns N' Roses,1989,,,,,,,,,1128.0,,225.0,200.0,207.0,173.0,150.0,198.0,185.0,201.0,160.0,124.0,6eN1f9KNmiWEhpE2RhQqB5
Voltooid Verleden Tijd,Is Ook Schitterend,1997,,,,,,,,,1145.0,,1869.0,1694.0,1696.0,1286.0,1264.0,1189.0,1222.0,1247.0,1111.0,1439.0,5NNzSXY8cAbUhU7Viaird6
I Want It All,Queen,1989,,,,,,,,,1163.0,,956.0,909.0,502.0,637.0,679.0,802.0,814.0,867.0,955.0,422.0,4DtB1PJsbl4KAb2rZVNCUL
I Belong To You,Eros Ramazzotti & Anastacia,2005,,,,,,,,,1190.0,,1511.0,1337.0,1626.0,1654.0,1706.0,1933.0,,,,,4RUoW6ewYFNsNzTbtvM99Y
War,Bruce Springsteen,1980,,,,,,,,,1206.0,,1580.0,,1508.0,1988.0,1672.0,1710.0,1463.0,,,,52d6CvA7C0NwPmMwN8fHki
The Road To Mandalay,Robbie Williams,2001,,,,,,,,,1218.0,,986.0,917.0,1095.0,1308.0,979.0,1294.0,1372.0,1571.0,1676.0,,5iWa27IZ9UyXm0TJTod0y5
Do You Know The Way To San José?,Trijntje Oosterhuis,2007,,,,,,,,,1221.0,,1952.0,1798.0,,,,,,,,,20Sld1bVccKrfCcWqDjCqa
Voorbij,Marco Borsato & Do,2004,,,,,,,,,1223.0,,890.0,,,,,,,,,,5dOov14V6FD3sEjDZMiRS6
Who Are You,Who,1978,,,,,,,,,1246.0,,1198.0,1232.0,1358.0,1175.0,1107.0,1368.0,1531.0,1901.0,,,23IJ5wLRhEZ9DOuia5mPiZ
Ain't Nobody Home,BB King,1971,,,,,,,,,1253.0,,1748.0,1568.0,1283.0,1543.0,,1959.0,1756.0,,,,3hCIZ8sgJm5MUh7ulehPGX
Shy Boy,Katie Melua,2007,,,,,,,,,1263.0,,,,,,,,,,,,7LFF91WEGR7SdvRtX5NDzf
Hips Don't Lie,Shakira,2007,,,,,,,,,1275.0,,1968.0,1357.0,1783.0,,1917.0,,,,,,3ZFTkvIE7kyPt6Nu3PEa7V
She's Madonna,Robbie Williams & Pet Shop Boys,2007,,,,,,,,,1279.0,,,,,,,,,,,,5E4DBh4ji9cBodEKIahvgu
Ik Zing Dit Lied Voor Jou Alleen,Jan Smit,1997,,,,,,,,,1304.0,,,,1930.0,,,,,,,,3Br7DMxAiyYmtlOs36Ahwt
Bailamos,Enrique Iglesias,1999,,,,,,,,,1318.0,,,,,,,,,,,,2bbeNsFmjZqdoDhjLsKNWe
(You Want To) Make A Memory,Bon Jovi,2007,,,,,,,,,1332.0,,1938.0,,,1857.0,,,,,,,09ln4QumFqjIkfCFiW9aRk
All That She Wants,Ace of Base,1993,,,,,,,,,1333.0,,,1888.0,1938.0,,,,,,,,6kWJvPfC4DgUpRsXKNa9z9
Kiss Me,Sixpence None The Richer,1999,,,,,,,,,1335.0,,,,,,,,,,,,754kgU5rWscRTfvlsuEwFp
Still Believe,Herman Brood & His Wild Romance,1978,,,,,,,,,1364.0,,1035.0,930.0,848.0,1141.0,1250.0,1060.0,1179.0,1402.0,1591.0,1740.0,449mBfHMS2MyM4qjDScYtV
Advertising Space,Robbie Williams,2005,,,,,,,,,1379.0,,1568.0,1995.0,,1359.0,,,,,,,3EY1sjf2Xq86pQN0L4hEnU
Breakaway,Kelly Clarkson,2004,,,,,,,,,1397.0,,,,,,,,,,,,61Qhe2mHSLhUE04QeK4lkD
Breakfast At Tiffany's,Deep Blue Something,1996,,,,,,,,,1399.0,,,1924.0,1635.0,1583.0,1450.0,1825.0,1651.0,1847.0,,1991.0,1uzWOoJdADfstQuFtQFTUn
I Don't Feel Like Dancin',Scissor Sisters,2007,,,,,,,,,1409.0,,,,,,,,,,,,1qEHgdFqUxFebMPk8s2HLY
Baby Get Higher,Van Velzen,2006,,,,,,,,,1421.0,,1147.0,717.0,592.0,825.0,1635.0,,,,,,3MoomFYIT3I0NBKTB4eheX
Love Will Tear Us Apart,Joy Division,1980,,,,,,,,,1424.0,,337.0,394.0,294.0,278.0,221.0,305.0,333.0,383.0,427.0,401.0,1r8oPEXqnhUVgkUkJNqEuF
As,Stevie Wonder,1976,,,,,,,,,1467.0,,1291.0,1318.0,1163.0,1507.0,1062.0,1546.0,1881.0,1897.0,1893.0,1970.0,13toFl1UwJPsRxDiD9jgtn
Moi Lolita,Alizee,2001,,,,,,,,,1481.0,,,,,,,,,,,,6e0LjNPkRqxIAlmmdjWSV8
Could I Have This Kiss Forever,Enrique Iglesias & Whitney Houston,2000,,,,,,,,,1495.0,,,,,,,,,,,,1Sr5Z0pqqEWbNAp2Sos1Dt
Wanhoop Niet,Van Dik Hout,2007,,,,,,,,,1516.0,,,,,,,,,,,,6mRSCOLfjbsfZCOlLfEovR
