titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,title,artist,track_id,artist_id,album_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Paint It Black,The Rolling Stones,1966,33.0,48.0,62.0,60.0,54.0,54.0,68.0,57.0,107.0,63.0,65.0,63.0,82.0,43.0,49.0,57.0,50.0,61.0,67.0,48.0,47.0,"Paint It, Black",The Rolling Stones,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,spotify:album:72qrnM4yUNMDDlWiqKc8iY,0.0493,0.464,0.795,0.00244,0.399,-9.267,0.0926,158.691,0.612,76.0
Africa,Toto,1982,34.0,49.0,33.0,39.0,52.0,63.0,70.0,75.0,110.0,66.0,100.0,97.0,87.0,62.0,28.0,51.0,42.0,30.0,25.0,8.0,11.0,Africa,TOTO,spotify:track:2374M0fQpWi3dLnB54qaLX,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,spotify:album:62U7xIHcID94o20Of5ea4D,0.257,0.671,0.373,7.95e-05,0.0481,-18.064,0.0323,92.717,0.732,82.0
The Winner Takes It All,ABBA,1980,35.0,92.0,106.0,103.0,77.0,133.0,113.0,140.0,94.0,107.0,121.0,104.0,176.0,201.0,197.0,135.0,174.0,165.0,192.0,176.0,182.0,The Winner Takes It All,ABBA,spotify:track:2HeTmGTjl870ucJ8mF7zl5,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,spotify:album:5PVuX09frPq7AMYkkdcDfR,0.548,0.457,0.785,0.000781,0.082,-6.783,0.0383,126.947,0.522,58.0
Het Dorp,Wim Sonneveld,1974,36.0,32.0,39.0,38.0,48.0,47.0,44.0,29.0,53.0,42.0,40.0,40.0,57.0,69.0,36.0,39.0,45.0,55.0,62.0,64.0,25.0,Het Dorp - Live,Wim Sonneveld,spotify:track:4HWOyz21zZDbHe3mMukrFJ,spotify:artist:6PeXy9NJcXE6CUH12YsboM,spotify:album:097Ma7nG7Cye0gfief3mR6,0.816,0.365,0.441,0.00452,0.672,-14.86,0.0781,114.164,0.45,17.0
Candle In The Wind '97,Elton John,1997,37.0,80.0,293.0,405.0,424.0,372.0,429.0,357.0,376.0,351.0,610.0,475.0,650.0,806.0,777.0,899.0,816.0,888.0,892.0,1038.0,821.0,Candle In The Wind '97 - (Tribute to Elton John),Studio Allstars,spotify:track:0P5vVASbVxf54XSUY1WCMq,spotify:artist:0dJ4EXAj8j47TP3U47T4Sj,spotify:album:0EgbRvVtTdT16UMMfhlUtC,0.883,0.629,0.224,0.0,0.114,-12.205,0.0396,125.526,0.484,0.0
Kayleigh,Marillion,1985,38.0,55.0,68.0,73.0,66.0,103.0,121.0,115.0,154.0,111.0,173.0,198.0,217.0,159.0,174.0,163.0,172.0,191.0,173.0,195.0,221.0,Kayleigh,Marillion,spotify:track:1Dsd1Nu06UbNmelEhPxKgB,spotify:artist:7ai5TWiOG8g9Hds5AATS28,spotify:album:1z0n45uHXopsKTLEsqeFUW,0.0188,0.562,0.671,0.00378,0.0947,-7.21,0.0269,106.002,0.595,57.0
No Woman No Cry (Live),Bob Marley & Wailers,1975,39.0,63.0,92.0,93.0,75.0,70.0,93.0,113.0,79.0,86.0,106.0,54.0,79.0,141.0,156.0,233.0,270.0,223.0,257.0,269.0,339.0,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,spotify:track:423hwXFgoN8RYmqLoLuVvY,spotify:artist:2QsynagSdAqZj3U9HgDzjD,spotify:album:5mvQHYARofQRsOE2cqBzik,0.272,0.655,0.675,0.0236,0.727,-9.352,0.0599,77.589,0.587,69.0
Testament,Boudewijn De Groot,1967,40.0,41.0,51.0,31.0,31.0,31.0,31.0,42.0,54.0,39.0,86.0,92.0,130.0,170.0,202.0,211.0,249.0,247.0,277.0,256.0,,Testament,Boudewijn de Groot,spotify:track:6J1orzdlXIAZOlZl21SWY6,spotify:artist:3h6rezLYXc5QU08SCKZtyO,spotify:album:7uvPwz44qCtpVTXUyYpiJr,0.477,0.429,0.398,0.0,0.122,-9.885,0.0451,121.975,0.633,27.0
My Heart Will Go On,Celine Dion,1998,41.0,89.0,209.0,238.0,354.0,334.0,400.0,419.0,326.0,337.0,559.0,562.0,637.0,598.0,849.0,922.0,828.0,1129.0,1243.0,978.0,,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,spotify:track:33LC84JgLvK2KuW43MfaNq,spotify:artist:4S9EykWXhStSc15wEx8QFK,spotify:album:1tfS7Fo1UtAxQSf256fnYs,0.732,0.428,0.276,5.33e-06,0.117,-11.729,0.0312,99.195,0.0382,74.0
I'm Not In Love,10cc,1975,42.0,53.0,27.0,53.0,50.0,64.0,71.0,95.0,60.0,64.0,138.0,437.0,154.0,272.0,404.0,290.0,368.0,372.0,247.0,473.0,551.0,I'm Not In Love,10cc,spotify:track:5HQEmiV2lKnSO6qa2fsR7x,spotify:artist:6i6WlGzQtXtz7GcC5H5st5,spotify:album:1CMgmJjMFskwwmK8h8j1Oj,0.685,0.404,0.523,0.000498,0.282,-15.7,0.0575,133.738,0.164,69.0
