titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,title,artist,track_id,artist_id,album_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Scar Tissue,Red Hot Chili Peppers,1999,,,,,,,,,,,,,,,,469.0,474.0,430.0,521.0,496.0,586.0,Scar Tissue,Red Hot Chili Peppers,spotify:track:1G391cbiT3v3Cywg8T7DM1,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,spotify:album:2Y9IRtehByVkegoD7TcLfi,0.0779,0.595,0.717,0.00274,0.108,-4.803,0.0295,88.969,0.547,75.0
Learn to fly,Foo Fighters,1999,,,,,,,,,,,,,,,,496.0,306.0,429.0,377.0,379.0,,Learn to Fly,Foo Fighters,spotify:track:5OQsiBsky2k2kDKy2bX2eT,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,spotify:album:28q2N44ocJECgf8sbHEDfY,1.83e-05,0.465,0.919,2.07e-05,0.262,-4.025,0.0408,135.997,0.537,72.0
Take Me To Church,Hozier,2014,,,,,,,,,,,,,,,,521.0,103.0,198.0,269.0,327.0,360.0,Take Me to Church,Hozier,spotify:track:1CS7Sd1u5tWkstBhpssyjP,spotify:artist:2FXC3k01G6Gw61bmprjgqS,spotify:album:4Pv7m8D82A1Xun7xNCKZjJ,0.634,0.566,0.664,0.0,0.116,-5.303,0.0464,128.945,0.437,75.0
Stay With Me,Sam Smith,2014,,,,,,,,,,,,,,,,544.0,428.0,905.0,913.0,1398.0,1600.0,Stay With Me,Sam Smith,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,spotify:artist:2wY79sveU1sp5g7SokKOiI,spotify:album:08jWgM4vSkTose4blKBWov,0.588,0.418,0.42,6.39e-05,0.11,-6.444,0.0414,84.094,0.184,83.0
Things We Lost In The Fire,Bastille,2013,,,,,,,,,,,,,,,,552.0,1026.0,843.0,1310.0,1593.0,1881.0,Things We Lost In The Fire,Bastille,spotify:track:2oTdiDj4AawNeeYFz8bipG,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,spotify:album:64fQ94AVziavTPdnkCS6Nj,0.0636,0.587,0.918,0.0,0.267,-4.878,0.0581,134.055,0.629,46.0
Alors On Danse,Stromae,2010,,,,,,,,,,,,,,,,572.0,797.0,1145.0,1137.0,1113.0,1065.0,Alors on danse,Stromae,spotify:track:6uFreJoeTZVC7MgC7B6rF1,spotify:artist:5j4HeCoUlzhfWtjAfM1acR,spotify:album:4340qFCOokCyJaST6EX6H1,0.0928,0.792,0.588,0.00155,0.0656,-9.319,0.077,119.95,0.731,59.0
Streets,Kensington,2014,,,,,,,,,,,,,,,,581.0,151.0,152.0,294.0,334.0,287.0,Streets,Kensington,spotify:track:61ks9qYaFaMxUGpYsl1BCF,spotify:artist:5hHcAWKNV84BEbkRnbQ6A7,spotify:album:6udOhfnZ9TyExOZ4Js2QL2,0.000874,0.376,0.771,8.98e-06,0.274,-5.8,0.0422,168.154,0.419,56.0
Smokers Outside The Hospital Doors,Editors,2007,,,,,,,,,,,,,,,,594.0,262.0,312.0,325.0,390.0,380.0,Smokers Outside the Hospital Doors,Editors,spotify:track:7CPiFuM7R0Os87sl3UJqPB,spotify:artist:6e9wIFWhBPHLE9bXK8gtBI,spotify:album:3csSbF72syMhIYq89doRha,4.61e-05,0.528,0.677,0.0826,0.116,-3.792,0.0365,122.993,0.548,55.0
Wake Me Up When September Ends,Green Day,2005,,,,,,,,,,,,,,,,595.0,481.0,515.0,494.0,430.0,496.0,Wake Me up When September Ends,Green Day,spotify:track:3ZffCQKLFLUvYM59XKLbVm,spotify:artist:7oPftvlwr6VrsViSDV7fJY,spotify:album:5dN7F9DV0Qg1XRdIgW8rke,0.023,0.546,0.814,0.0,0.0972,-5.146,0.0314,104.98,0.146,75.0
Basket Case,Green Day,1994,,,,,,,,,,,,,,,,599.0,463.0,371.0,359.0,393.0,370.0,Basket Case,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s,spotify:artist:7oPftvlwr6VrsViSDV7fJY,spotify:album:4uG8q3GPuWHQlRbswMIRS6,0.00293,0.442,0.943,8.71e-06,0.091,-3.205,0.0602,85.064,0.781,78.0
Born Slippy,Underworld,1996,,,,,,,,,,,,,,,,602.0,477.0,450.0,413.0,449.0,418.0,Born Slippy (Nuxx),Underworld,spotify:track:7xQYVjs4wZNdCwO0EeAWMC,spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa,spotify:album:68wdXsJmyuDfbozV2rDjXq,0.00106,0.576,0.953,0.49,0.474,-8.968,0.0362,140.042,0.303,64.0
Nightswimming,R.E.M.,1992,,,,,,,,,,,,,,,,616.0,551.0,503.0,470.0,586.0,648.0,Nightswimming,R.E.M.,spotify:track:6G0NzOx2jEPFsSmhr9N8Ys,spotify:artist:4KWTAlx2RvbpseOGMEmROg,spotify:album:0BiNb8HYR4JvuxUa31Z58Q,0.796,0.566,0.385,7.63e-06,0.103,-11.272,0.0304,114.227,0.571,61.0
Otherside,Red Hot Chili Peppers,2003,,,,,,,,,,,,,,,,658.0,522.0,554.0,591.0,578.0,,Otherside,Red Hot Chili Peppers,spotify:track:64BbK9SFKH2jk86U3dGj2P,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,spotify:album:2Y9IRtehByVkegoD7TcLfi,0.00316,0.458,0.795,0.000202,0.0756,-3.265,0.0574,123.229,0.513,77.0
A Sky Full Of Stars,Coldplay & Avicii,2014,,,,,,,,,,,,,,,,667.0,198.0,220.0,263.0,146.0,146.0,A Sky Full of Stars - Instrumental Karaoke Extended Originally Performed by Coldplay & Avicii,Flat Rascals,spotify:track:3RWREVtgPKzb4tmcJiOgDQ,spotify:artist:1TvUWxOq3mlIv8O1qSG6JQ,spotify:album:59dCcE7g0MbF2RX3bipEfP,8.89e-05,0.677,0.671,0.923,0.0498,-7.656,0.0367,128.003,0.332,6.0
Breaking The Habit,Linkin Park,2004,,,,,,,,,,,,,,,,704.0,578.0,882.0,398.0,483.0,569.0,Breaking the Habit,Linkin Park,spotify:track:4HcDu9IGRCvSTJE4yW5Ugv,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,spotify:album:0y13VbGddQ4azdVWakksAL,0.108,0.579,0.849,0.0,0.0909,-5.218,0.0303,100.021,0.581,57.0
Song 2,Blur,1997,,,,,,,,,,,,,,,,706.0,639.0,513.0,589.0,744.0,877.0,Song 2 - 2012 Remaster,Blur,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,spotify:artist:7MhMgCo0Bl0Kukl93PZbYS,spotify:album:7HvIrSkKGJCzd8AKyjTJ6Q,0.00178,0.674,0.789,0.0071,0.0754,-6.903,0.0676,129.804,0.918,73.0
Teardrop,Massive Attack,1998,,,,,,,,,,,,,,,,716.0,607.0,608.0,534.0,520.0,641.0,Teardrop - Massive Attack,Eklipse,spotify:track:7e2mrteCijfhlM0mWp4ZJL,spotify:artist:6kART38d9tWb1yOcSO40YH,spotify:album:6G1BNEaFS6wJ1dPB5qMY4h,0.0728,0.58,0.322,0.85,0.0982,-12.379,0.0322,147.936,0.468,27.0
Here I Go Again,Whitesnake,1987,,,,,,,,,,,,,,,,734.0,655.0,645.0,528.0,657.0,774.0,Here I Go Again - 2018 Remaster,Whitesnake,spotify:track:1qOU8KzFifXE9YrgjVwYvc,spotify:artist:3UbyYnvNIT5DFXU4WgiGpP,spotify:album:5drgoLSnXSDIhNK4ms3P7I,0.0117,0.292,0.823,7.79e-05,0.155,-6.763,0.0407,89.939,0.244,64.0
Counting Stars,One Republic,2013,,,,,,,,,,,,,,,,747.0,730.0,1299.0,1541.0,1665.0,1692.0,Counting Stars,OneRepublic,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,spotify:album:2bbhW5ifCwOYM8DMkqoYBF,0.0654,0.664,0.705,0.0,0.115,-4.972,0.0382,122.017,0.477,72.0
Sterrenstof,De Jeugd Van Tegenwoordig,2010,,,,,,,,,,,,,,,,762.0,387.0,287.0,258.0,145.0,164.0,Sterrenstof,De Jeugd Van Tegenwoordig,spotify:track:4PW9WvbhNlrFoThvc7zheh,spotify:artist:1u7uShzlA1tXJeox3jMFPq,spotify:album:11rfbdYl1pFjo4sVoPWuKB,0.317,0.714,0.79,1.27e-05,0.198,-3.757,0.109,97.012,0.904,47.0
Let Me Entertain You,Robbie Williams,1998,,,,,,,,,,,,,,,,768.0,656.0,712.0,802.0,847.0,870.0,Let Me Entertain You,Robbie Williams,spotify:track:76SFcrLi5d60pHrzfvSjsJ,spotify:artist:2HcwFjNelS49kFbfvMxQYw,spotify:album:1m1UKiBZYEQToW9FIJFX1G,0.000172,0.463,0.963,0.00215,0.0901,-5.019,0.0663,125.081,0.37,43.0
Strong,London Grammar,2014,,,,,,,,,,,,,,,,772.0,457.0,665.0,452.0,499.0,570.0,Strong (London Grammer),My Dark Diary,spotify:track:1a0LvfeCDwhRHYXew97TEb,spotify:artist:5HotZjguHCTETazVX4DVfS,spotify:album:0Owz2ALQqnhOUo8lQFfc49,0.002,0.276,0.767,0.00012,0.138,-5.818,0.0477,159.517,0.193,23.0
Breakeven,The Script,2008,,,,,,,,,,,,,,,,803.0,937.0,1292.0,1492.0,1504.0,,Breakeven,The Script,spotify:track:38xWaVFKaxZlMFvzNff2aW,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,spotify:album:51Hn2Wiq1jmUfI0BLaUhuF,0.173,0.63,0.698,0.0,0.0789,-4.51,0.0244,94.023,0.529,72.0
Motorcycle Emptiness,Manic Street Preachers,1992,,,,,,,,,,,,,,,,821.0,725.0,641.0,586.0,843.0,881.0,Motorcycle Emptiness,Manic Street Preachers,spotify:track:61dhQ6Mc3H66zxx1hBdeoI,spotify:artist:2uH0RyPcX7fnCcT90HFDQX,spotify:album:528UKMsqR0kfioYOim3LJU,8.18e-06,0.525,0.806,0.0552,0.157,-3.655,0.03,112.453,0.213,35.0
When I Was Your Man,Bruno Mars,2013,,,,,,,,,,,,,,,,834.0,1103.0,1051.0,1177.0,1035.0,1382.0,When I Was Your Man,Bruno Mars,spotify:track:0nJW01T7XtvILxQgC5J7Wh,spotify:artist:0du5cEVh5yTK9QJze8zA0C,spotify:album:58ufpQsJ1DS5kq4hhzQDiI,0.932,0.612,0.28,0.0,0.088,-8.648,0.0434,72.795,0.387,81.0
Fake Plastic Trees,Radiohead,1995,,,,,,,,,,,,,,,,843.0,866.0,836.0,780.0,1046.0,1127.0,Fake Plastic Trees,Radiohead,spotify:track:045sp2JToyTaaKyXkGejPy,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,spotify:album:500FEaUzn8lN9zWFyZG5C2,0.167,0.454,0.229,0.102,0.202,-12.592,0.0297,73.552,0.134,69.0
Disarm,The Smashing Pumpkins,2003,,,,,,,,,,,,,,,,853.0,824.0,906.0,866.0,850.0,,Disarm - Remastered,The Smashing Pumpkins,spotify:track:6YIggUJW3ttAAPRdnki8RM,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,spotify:album:0bQglEvsHphrS19FGODEGo,0.142,0.527,0.418,0.775,0.139,-10.204,0.0277,129.516,0.218,60.0
Diamonds,The Boxer Rebellion,2013,,,,,,,,,,,,,,,,871.0,662.0,480.0,486.0,576.0,510.0,Diamonds,The Boxer Rebellion,spotify:track:7oOVGPwNmB8JVoBhWlTdht,spotify:artist:7DEseTqRODmSu3C7jxCHl5,spotify:album:5nDxn8zkN3RvWWoVEN3jhj,0.165,0.453,0.751,0.0718,0.175,-6.001,0.0594,170.009,0.419,34.0
Holes,Passenger,2013,,,,,,,,,,,,,,,,885.0,1267.0,1399.0,1880.0,,,Holes,Passenger,spotify:track:1J57P3cwltq4OG9flDTc12,spotify:artist:0gadJ2b9A4SKsB1RFkBb66,spotify:album:0yWveEIgWbV3oPq4ZA6BAj,0.508,0.43,0.485,1.01e-06,0.117,-7.271,0.0592,150.956,0.519,46.0
No One Knows,Queens Of Stone Age,2002,,,,,,,,,,,,,,,,893.0,168.0,238.0,210.0,224.0,268.0,No One Knows,Queens of the Stone Age,spotify:track:6NvRxjfYkkT2SpirAlmsjH,spotify:artist:4pejUc4iciQfgdX6OKulQn,spotify:album:58HZZpS0wxJKwGjoerg0mk,0.031,0.511,0.581,0.000171,0.367,-4.93,0.0581,170.852,0.668,64.0
Firestarter,The Prodigy,1996,,,,,,,,,,,,,,,,901.0,913.0,1018.0,1096.0,935.0,725.0,Firestarter,The Prodigy,spotify:track:1GTPxha6U7x9ElVxkQw3OK,spotify:artist:4k1ELeJKT1ISyDv8JivPpB,spotify:album:2NkwB9shQioKcbNhPf2EbP,0.00339,0.534,0.946,0.442,0.164,-5.167,0.0793,141.517,0.379,63.0
Titanium,David Guetta & Sia,2011,,,,,,,,,,,,,,,,910.0,794.0,1008.0,1189.0,801.0,887.0,Titanium (Originally Performed By David Guetta & Sia) [Karaoke Version],Titanium I Am Titanium,spotify:track:15WeV0oOVVd6gOToPV9sHe,spotify:artist:3oFN8v5u9ernYA3HWD2Lpn,spotify:album:6uiBjNYZoyHkS5orWlznjs,0.0153,0.753,0.607,0.907,0.169,-7.179,0.037,126.017,0.453,18.0
Glory Box,Portishead,1994,,,,,,,,,,,,,,,,913.0,1050.0,1195.0,1155.0,1165.0,1167.0,Glory Box,Portishead,spotify:track:3Ty7OTBNSigGEpeW2PqcsC,spotify:artist:6liAMWkVf5LH7YR9yfFy1Y,spotify:album:3539EbNgIdEDGBKkUf4wno,0.177,0.51,0.434,0.516,0.0603,-10.004,0.0361,119.695,0.207,66.0
The Blower's Daughter,Damien Rice,2004,,,,,,,,,,,,,,,,915.0,994.0,1090.0,1350.0,1702.0,,The Blower's Daughter,Damien Rice,spotify:track:4B2lJinAkeNLSJjcq3dg8Q,spotify:artist:14r9dR01KeBLFfylVSKCZQ,spotify:album:6aHBpqM0YAMfYxfTBjfmk1,0.134,0.342,0.2,0.000153,0.341,-13.569,0.0324,133.113,0.0743,56.0
No Surprises,Radiohead,1997,,,,,,,,,,,,,,,,916.0,837.0,797.0,725.0,925.0,895.0,No Surprises,Radiohead,spotify:track:1bSpwPhAxZwlR2enJJsv7U,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,spotify:album:7dxKtc08dYeRVHt3p9CZJn,0.0577,0.255,0.393,0.00361,0.113,-10.654,0.0278,76.426,0.118,70.0
Self Esteem,Offspring,1995,,,,,,,,,,,,,,,,937.0,805.0,826.0,966.0,772.0,846.0,Self Esteem,The Offspring,spotify:track:6EsBn1Md8C5YdbCzvwvZq8,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,spotify:album:5HDj9yjtyhPduBMVax56pg,0.0175,0.458,0.912,0.0,0.363,-3.666,0.0618,104.526,0.611,71.0
Shape Of My Heart,Sting,1993,,,,,,,,,,,,,,,,950.0,1005.0,1109.0,1047.0,888.0,831.0,Shape Of My Heart,Sting,spotify:track:6CKoWCWAqEVWVjpeoJXyNH,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,spotify:album:5kV0KBXfELibs6qQJLmOtg,0.691,0.537,0.373,0.000915,0.083,-10.081,0.0331,83.936,0.244,70.0
One More Time,Daft Punk,2000,,,,,,,,,,,,,,,,959.0,652.0,866.0,957.0,1160.0,1428.0,One More Time,Daft Punk,spotify:track:0DiWol3AO6WpXZgp0goxAV,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,spotify:album:2noRn2Aes5aoNVsU6iWThc,0.0193,0.611,0.697,0.0,0.332,-8.618,0.133,122.752,0.476,73.0
If You Tolerate This Your Children Will Be Next,Manic Street Preachers,1998,,,,,,,,,,,,,,,,999.0,622.0,747.0,794.0,1027.0,1201.0,If You Tolerate This Your Children Will Be Next,Manic Street Preachers,spotify:track:2r7y4HANK7b9KVZfz0g4Uq,spotify:artist:2uH0RyPcX7fnCcT90HFDQX,spotify:album:7CCkQQvhSAUjuzLQAV8S5a,0.000213,0.219,0.8,0.0179,0.0863,-6.143,0.0402,96.145,0.261,37.0
Good Riddance (Time Of Your Life),Green Day,1997,,,,,,,,,,,,,,,,1003.0,744.0,770.0,806.0,738.0,785.0,Good Riddance (Time of Your Life),Green Day,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,spotify:artist:7oPftvlwr6VrsViSDV7fJY,spotify:album:3x2uer6Xh0d5rF8toWpRDA,0.183,0.475,0.432,0.0,0.161,-7.844,0.0302,94.605,0.648,74.0
Magic,Coldplay,2014,,,,,,,,,,,,,,,,1027.0,438.0,734.0,869.0,668.0,729.0,Magic,Coldplay,spotify:track:23khhseCLQqVMCIT1WMAns,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,spotify:album:2G4AUqfwxcV1UdQjm2ouYr,0.0262,0.738,0.483,0.616,0.106,-8.915,0.0403,93.458,0.355,71.0
Porcelain,Moby,1999,,,,,,,,,,,,,,,,1028.0,928.0,908.0,902.0,893.0,1002.0,Porcelain,Moby,spotify:track:3cYgOAFB1HAUhC7b7U8viI,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,spotify:album:0t4ItMJbYMYLzvEO7tzt0B,0.0014,0.297,0.637,0.18,0.247,-7.926,0.0336,94.73,0.332,53.0
Do I Wanna Know,Arctic Monkeys,2013,,,,,,,,,,,,,,,,1029.0,196.0,297.0,337.0,285.0,,Do I Wanna Know?,Arctic Monkeys,spotify:track:5FVd6KXrgO9B3JPmC8OPst,spotify:artist:7Ln80lUS6He07XvHI8qqHH,spotify:album:78bpIziExqiI9qztvNFlQu,0.186,0.548,0.532,0.000263,0.217,-7.596,0.0323,85.03,0.405,81.0
The Wrong Direction,Passenger,2013,,,,,,,,,,,,,,,,1044.0,1527.0,,,,,The Wrong Direction,Passenger,spotify:track:0fbi6F2BG3Ayb8xEuxUspt,spotify:artist:0gadJ2b9A4SKsB1RFkBb66,spotify:album:0yWveEIgWbV3oPq4ZA6BAj,0.359,0.692,0.661,1.09e-06,0.102,-6.357,0.038,127.986,0.782,40.0
Budapest,George Ezra,2014,,,,,,,,,,,,,,,,1053.0,905.0,1421.0,1686.0,1061.0,1340.0,Budapest,George Ezra,spotify:track:7q0aQpiLv5tIsupcgQ3Ny4,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,spotify:album:7L4ZwpSwKQCerDQv9C4O1M,0.0846,0.717,0.455,0.0,0.11,-8.303,0.0276,127.81,0.389,66.0
Babel,Mumford & Sons,2013,,,,,,,,,,,,,,,,1061.0,1130.0,1229.0,1620.0,1305.0,1535.0,I Will Wait,Mumford & Sons,spotify:track:0hm8rgOY17z7kQJlqGKbu7,spotify:artist:3gd8FJtBJtkRxdfbTu19U2,spotify:album:4Blt0T4LKGdWreILkYZre3,0.00993,0.48,0.756,0.00704,0.312,-5.399,0.0333,131.127,0.447,68.0
The Dolphin's Cry,Live,1999,,,,,,,,,,,,,,,,1088.0,1175.0,1262.0,1010.0,1071.0,1151.0,The Dolphin's Cry,Live,spotify:track:6FPnecQDKOWSAKDKBAZ7ZG,spotify:artist:6eoJpTIlcuxJNjV5fDzDJH,spotify:album:1PsHpu1IZBCuZ3bXD2CFSd,0.000442,0.342,0.792,8.57e-06,0.142,-6.001,0.0391,149.744,0.431,55.0
Remedy,The Black Crowes,1992,,,,,,,,,,,,,,,,1094.0,1157.0,1110.0,997.0,1317.0,1334.0,Remedy,The Black Crowes,spotify:track:217a9W3cZ3ur40RFQW2pTo,spotify:artist:5krkohEVJYw0qoB5VWwxaC,spotify:album:4hVgzAM4i3dPdhZQki9cKk,0.00138,0.411,0.978,3.97e-06,0.0782,-3.801,0.0532,160.478,0.353,56.0
Hoe,Nielson & Miss Montreal,2013,,,,,,,,,,,,,,,,1102.0,1522.0,1927.0,,,,,,,,,,,,,,,,,,
Year Of Summer (acoustic),Niels Geusebroek,2013,,,,,,,,,,,,,,,,1109.0,,,,,,,,,,,,,,,,,,,,
Demons,Imagine Dragons,2014,,,,,,,,,,,,,,,,1112.0,372.0,535.0,445.0,323.0,437.0,Demons - Imagine Dragons Remix,Imagine Dragons,spotify:track:2YaY6wwlPAi4FK9MnNX8Im,spotify:artist:53XhwfbYqKCa1cC15pYq2q,spotify:album:3nfXIZGZlIgaLRx52fABmG,0.34,0.512,0.775,6.33e-05,0.256,-4.773,0.0317,102.003,0.276,28.0
Around The World,Daft Punk,1997,,,,,,,,,,,,,,,,1138.0,854.0,1050.0,1213.0,1618.0,1911.0,Around the World,Daft Punk,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,spotify:album:5uRdvUR7xCnHmUW8n64n9y,0.00356,0.956,0.795,0.889,0.0906,-5.311,0.15,121.294,0.841,69.0
It's A Beautiful Day,Michael Bublé,2013,,,,,,,,,,,,,,,,1139.0,1536.0,1876.0,,1859.0,,It's a Beautiful Day,Michael Bublé,spotify:track:0mvkwaZMP2gAy2ApQLtZRv,spotify:artist:1GxkXlMwML1oSg5eLPiAz3,spotify:album:4Yf5LJfqpjgl1a4TBiCi07,0.0559,0.532,0.795,0.0,0.295,-3.979,0.0358,143.837,0.78,65.0
A Ton Of Love,Editors,2013,,,,,,,,,,,,,,,,1164.0,1153.0,1359.0,1359.0,1397.0,1761.0,A Ton of Love,Editors,spotify:track:7aFAM7XDfFmCJEDuEGhRK3,spotify:artist:6e9wIFWhBPHLE9bXK8gtBI,spotify:album:4HklP3MTUYViTMiNdj43R3,0.0713,0.46,0.963,0.0,0.284,-4.191,0.0586,142.029,0.4,43.0
Radioactive,Imagine Dragons,2012,,,,,,,,,,,,,,,,1169.0,287.0,432.0,311.0,191.0,310.0,Radioactive: Imagine Dragons (Pop-Punk),Cody McConnell,spotify:track:6HVsJN8Y9nm63itLq7TyMt,spotify:artist:1Jw7FZtbFFKpAV1EZBLQ0k,spotify:album:71bKnz4jZp5bvmzh4X8iFr,0.51,0.486,0.902,0.0,0.138,-3.017,0.0461,153.991,0.624,19.0
Mr. Brightside,The Killers,2005,,,,,,,,,,,,,,,,1175.0,305.0,244.0,178.0,178.0,185.0,Mr. Brightside - The Lindbergh Palace Dub,The Killers,spotify:track:5TRDH5F5LmcyDaOStUo0TV,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,spotify:album:5nhwevNypTK5NEmuMMkEAB,0.000767,0.778,0.854,0.907,0.0585,-5.378,0.0651,131.996,0.956,17.0
1979,The Smashing Pumpkins,1996,,,,,,,,,,,,,,,,1178.0,1174.0,1135.0,1022.0,908.0,1171.0,1979 - Remastered 2012,The Smashing Pumpkins,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,spotify:album:55RhFRyQFihIyGf61MgcfV,0.0166,0.765,0.788,0.588,0.0513,-9.896,0.0332,126.879,0.964,73.0
Ik Zou Het Zo Weer Over Doen,Marco Borsato & Trijntje Oosterhuis,2013,,,,,,,,,,,,,,,,1187.0,1570.0,,,,,,,,,,,,,,,,,,,
Mannenharten,Blof & Nielson,2013,,,,,,,,,,,,,,,,1202.0,,,,,,,,,,,,,,,,,,,,
Superheroes,The Script,2014,,,,,,,,,,,,,,,,1224.0,806.0,1442.0,1734.0,1506.0,1577.0,Superheroes,The Script,spotify:track:37sINbJZcFdHFAsVNsPq1i,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,spotify:album:6yd9yk8nFcHalXzy7mgaDx,0.00219,0.491,0.885,0.0,0.0741,-4.121,0.0395,166.992,0.641,74.0
J'me Tire,Maitre Gims,2013,,,,,,,,,,,,,,,,1233.0,1387.0,1926.0,,,,J'me tire,Maître Gims,spotify:track:4w47YE9rjhmZUdtZjSCb82,spotify:artist:0GOx72r5AAEKRGQFn3xqXK,spotify:album:5EU9LqPsBwrhq4Iqx0xMVd,0.00892,0.752,0.676,1.94e-06,0.186,-5.233,0.0418,95.017,0.425,64.0
Why Does My Heart Feel So Bad,Moby,1999,,,,,,,,,,,,,,,,1248.0,1144.0,1295.0,1064.0,1230.0,1245.0,Why Does My Heart Feel So Bad?,Moby,spotify:track:3QMEtL9Yh1HShyxVBZobEC,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,spotify:album:0t4ItMJbYMYLzvEO7tzt0B,0.00107,0.598,0.624,0.0795,0.0826,-6.923,0.0332,98.004,0.0451,44.0
Run To The Water,Live,2000,,,,,,,,,,,,,,,,1270.0,1354.0,1351.0,1331.0,1595.0,1491.0,Run To The Water,Live,spotify:track:3QdgPYfiUciRm2IbgirVta,spotify:artist:6eoJpTIlcuxJNjV5fDzDJH,spotify:album:1PsHpu1IZBCuZ3bXD2CFSd,0.00179,0.151,0.854,0.000851,0.0878,-4.508,0.052,181.264,0.287,46.0
Zing Voor Me,Lange Frans & Thé Lau,2010,,,,,,,,,,,,,,,,1276.0,642.0,1039.0,1167.0,1054.0,,,,,,,,,,,,,,,,
Just The Way You Are,Bruno Mars,2010,,,,,,,,,,,,,,,,1278.0,1620.0,1227.0,1344.0,1328.0,1556.0,Just the Way You Are,Bruno Mars,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,spotify:artist:0du5cEVh5yTK9QJze8zA0C,spotify:album:1uyf3l2d4XYwiEqAb7t7fX,0.0151,0.637,0.843,0.0,0.0876,-5.413,0.0432,109.012,0.434,79.0
Angel Of Harlem,U2,1988,,,,,,,,,,,,,,,,1316.0,1275.0,1374.0,1409.0,1498.0,1476.0,Angel Of Harlem,U2,spotify:track:7iBav4v8maicL8cWKGxFhQ,spotify:artist:51Blml2LZPmy7TTiAg47vQ,spotify:album:7hIoJcH4ObWasDFq78u1x9,0.104,0.519,0.694,2.3e-06,0.111,-10.792,0.0264,102.718,0.928,57.0
Love Goes On,The Common Linnets,2014,,,,,,,,,,,,,,,,1317.0,1324.0,,,,,Love Goes On,The Common Linnets,spotify:track:5VWGAkebuETSfhmje80eOY,spotify:artist:18h3nc5ixeV80KKGWDAaMG,spotify:album:5Vw9o8lKtDODFDX9abMaSw,0.336,0.422,0.34,0.00609,0.107,-12.62,0.0281,141.817,0.151,37.0
Little Black Submarines,The Black Keys,2012,,,,,,,,,,,,,,,,1318.0,801.0,427.0,442.0,554.0,,Little Black Submarines,The Black Keys,spotify:track:1PXsUXSM3LF2XNSkmIldPb,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,spotify:album:5DLhV9yOvZ7IxVmljMXtNm,0.161,0.365,0.466,6.68e-06,0.106,-7.514,0.0418,95.163,0.487,63.0
Bonfire Heart,James Blunt,2013,,,,,,,,,,,,,,,,1323.0,1785.0,,,,,Bonfire Heart,James Blunt,spotify:track:2kvyMNHyxQt2UJ5EKvxaOC,spotify:artist:7KMqksf0UMdyA0UCf4R3ux,spotify:album:3M8XClATGAkLPvA4ibtZm5,0.181,0.575,0.821,0.0,0.124,-5.7,0.0527,118.021,0.449,49.0
Send Me An Angel,The Scorpions,1991,,,,,,,,,,,,,,,,1327.0,1266.0,1331.0,1408.0,1254.0,1177.0,Send Me An Angel,Scorpions,spotify:track:1bKQ48M9onID2kbSpRy8kK,spotify:artist:27T030eWyCQRmDyuvr1kxY,spotify:album:3dLKM8bD8R3H3XnSOXGjTF,0.434,0.153,0.417,0.000622,0.211,-11.587,0.0318,80.87,0.166,68.0
Same Love,Macklemore & Ryan Lewis,2013,,,,,,,,,,,,,,,,1335.0,926.0,1340.0,1372.0,1683.0,,Same Love - feat. Mary Lambert,Macklemore & Ryan Lewis,spotify:track:01uqI4H13Gsd8Lyl1EYd8H,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,spotify:album:76FXHQhTuT4QMIxfL09gX8,0.716,0.688,0.473,4.46e-05,0.104,-9.059,0.167,84.958,0.299,66.0
