2019,titel,artiest,jaar,id
978,Little Green Bag,George Baker Selection,1969,4DR5MStkWtDYf17jBUOo0V
979,Happier,Ed Sheeran,2017,2RttW7RAu5nOAfq6YFvApB
980,Smalltown Boy,Bronski Beat,1984,5vmRQ3zELMLUQPo2FLQ76x
981,Absolute Beginners,David Bowie,1986,1F6WOrW9vtrE5v1XWl08k4
982,De Waarheid,Marco Borsato,1996,76wIe1sRiW5whxjY0PsDr4
983,Give It Away,Red Hot Chili Peppers,1992,0uppYCG86ajpV2hSR3dJJ0
984,Love Like Blood,Killing Joke,1985,4fapdV96fZxCbvf9sj5N5j
985,Ziggy Stardust,David Bowie,1972,5IyL3XOaRPpTgxVjRIAxXU
986,Free Fallin' (Live),John Mayer,2008,4LloVtxNZpeh7q7xdi1DQc
987,Get Lucky,Daft Punk ft. Pharrell Williams,2013,0xsbXkZVyTtqL64TRqoMLt
988,Kingston Town,UB40,1990,3e7yziCpnpx2ujgvXqSLzp
989,When The Sun Goes Down,Arctic Monkeys,2006,0ZRrJTPXDToRJ2iLo9oLrW
990,Plush,Stone Temple Pilots,1993,0CkspLl535ZxdwCRs8AdZ4
991,Go With The Flow,Queens Of The Stone Age,2003,45DElIx0dXqUH4A88yQFdE
992,Hunger Strike,Temple of the Dog,1991,0W7AbEauB7cP4pidLclApe
993,Woman In Chains,Tears for Fears,1989,5jmwL2MniQj9ldptIm1h1B
994,Con Te Partiro,Andrea Bocelli,1996,7zrpoAJte9o12TzawqgdD0
995,Love And Hate,Michael Kiwanuka,2016,7oOEFDLSQscl0uGulnIEmG
996,I Would Die 4 U,Prince & The Revolution,1984,6fBwVe6udYdnRqwqo06if8
997,Knockin' On Heaven's Door,Bob Dylan,1973,6HSXNV0b4M4cLJ7ljgVVeh
998,Miss You,The Rolling Stones,1978,3hJLKtTpgct9Y9wKww0BiR
999,Just Can't Get Enough (Live),Depeche Mode,1985,4sMeNzlMCMJucSRh58Btvs
1000,I Heard It Through The Grapevine,Creedence Clearwater Revival,1973,2tpPgG8Xkdbhn5xf77EVPP
1001,Ik Wou Dat Ik Jou Was,Veldhuis & Kemper,2003,5t6mxGSbrfKjocqUlsyAZH
1002,Porcelain,Moby,1999,3cYgOAFB1HAUhC7b7U8viI
1003,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987,2tUBqZG2AbRi7Q0BIrVrEj
1004,Lonely Boy,The Black Keys,2011,5G1sTBGbZT5o4PNRc75RKI
1005,Bedshaped,Keane,2004,1BoAUj2LKTvgIfi7wjAAQa
1006,Turning Tables,Adele,2011,5O6yk6U8L3rTbFsIwuqe8H
1007,Madness,Muse,2012,0c4IEciLCDdXEhhKxj4ThA
1008,Friends Will Be Friends,Queen,1986,0SaopEgTo6O5dJoFXBbulL
1009,Sovereign Light Cafe,Keane,2012,38v9pKVik1eEJhpSuh97oc
1010,Proud Mary,Creedence Clearwater Revival,1969,2EZc13S7YRi6bTS3SKteRN
1011,Don't Speak,No Doubt,1996,6BX2GqepVQelRMJ2NreCRh
1012,Locomotive Breath,Jethro Tull,1972,0MYNeFsKpzBHwrJGfWZysV
1013,Born To Be Wild,Steppenwolf,1968,3lN8PP6R2IxbLP05QpYXng
1014,I Want It That Way,Backstreet Boys,1999,6e40mgJiCid5HRAGrbpGA6
1015,Everybody Needs Somebody To Love,Blues Brothers,1989,1CtKHwDqsH3ctcCCI18N0g
1016,Hurt,Christina Aguilera,2006,6gDXbcILAyBa2skSdbUYq7
1017,She Flies On Strange Wings,Golden Earring,1971,1rYvwQhTKG8l1yzlJcJB2P
1018,Freak On A Leash,Korn,1998,6W21LNLz9Sw7sUSNWMSHRu
1019,Heart-Shaped Box,Nirvana,1993,11LmqTE2naFULdEP94AUBa
1020,New Gold Dream,Simple Minds,1982,7MhDU9xSWM1LPQGPFkAEJC
1021,Unintended,Muse,2009,6kyxQuFD38mo4S3urD2Wkw
1022,Gold,Spandau Ballet,1983,2X9fsxb6O6bYEopJYmUbNC
1023,Onderuit,De Dijk,1987,1t7ncjyHSvVZDgYXaqzhIA
1024,Voulez-Vous,ABBA,1979,6jJYlWqSUHXoX15nGk3Yfe
1025,All I Want,Kodaline,2012,2PwXOevGUSkU8qaYZjgLq2
1026,Wereld Zonder Jou,Marco Borsato & Trijntje Oosterhuis,1997,6BWAG8Kjp54QOjtD4w6dF5
1027,Have A Little Faith In Me,John Hiatt,1989,23EgnmfkdOsDK96ftbVv0Q
1028,Smoorverliefd,Doe Maar,1981,0OFLK8St1n4C9smb4s7CKX
1029,Whisky In The Jar,Thin Lizzy,1973,2kpYRiCZJjoeHN4l9HdnZT
1030,September Morn',Neil Diamond,1979,2CXkN6UAb3jAFwz4VbsDq0
1031,For Bitter Or Worse,Anouk,2009,2yL4HyjxwC8RrVeH4Xzq7Y
1032,Purple Haze,The Jimi Hendrix Experience,1967,0wJoRiX5K5BxlqZTolB2LD
1033,Message To My Girl,Split Enz,1984,2YnKRdpWWapJWeouwfYqRa
1034,The Times They Are A-Changin',Bob Dylan,1964,52vA3CYKZqZVdQnzRrdZt6
1035,Reünie,Snelle,2019,0C9JPibPAdaBvt60rbwEsJ
1036,State Of Independence,Donna Summer,1982,1864O99twGgmk18fGY1Brs
1037,Your Latest Trick,Dire Straits,1985,4UK1g9Z1lWedkmIQuSyCe5
1038,Addicted To You,Avicii,2014,5GayeBzzXIEl6fY0cP42Z1
1039,Real Slim Shady,Eminem,2000,3yfqSUWxFvZELEM4PmlwIR
1040,All I Need,Air,1998,7jOM0KIKgIppqIEvEjixaj
1041,Changes,David Bowie,1971,0LrwgdLsFaWh9VXIjBRe8t
1042,Suzanne,Herman van Veen,1969,1ma94UUlFLBIWaSkCjE7Z1
1043,Thank God It's Christmas,Queen,1984,3AymrUApW5JKKaNrHQhcBG
1044,Daughter,Pearl Jam,1993,53eJFr4Mfbw5PXJ01K6cFw
1045,At Last,Etta James,1960,4Hhv2vrOTy89HFRcjU3QOx
1046,Rain Down On Me,Kane,2002,2rRY9uu2SQge80Ifw58cfU
1047,You Took The Words Right Out Of My Mouth,Meat Loaf,1979,7wawEkN4nhPqSBWleGvdxa
1048,Beds Are Burning,Midnight Oil,1988,1CtAzw53AIXKjAemxy4b1j
1049,Super Trouper,ABBA,1980,2nMghZvtLx6DDgTEHEsb4w
1050,Listen To The Music,The Doobie Brothers,1972,7Ar4G7Ci11gpt6sfH9Cgz5
1051,New Light,John Mayer,2018,3bH4HzoZZFq8UpZmI2AMgV
1052,Since Ive Been Loving You,Led Zeppelin,1970,53v2Oubjaro0aJcvyxMTCm
1053,Best Of You,Foo Fighters,2005,5FZxsHWIvUsmSK1IAvm2pp
1054,MacArthur Park,Donna Summer,1978,42tYHqMxXxXHAAWqLaoOfQ
1055,Alles Is Liefde,Bløf,2007,0cKngKox9JinYgGOSNIT3A
1056,Pak Maar M'n Hand,Nick & Simon,2007,3jw3qNLVrfLgLodYh0I7id
1057,Burning Love,Elvis Presley,1972,7zMUCLm1TN9o9JlLISztxO
1058,Tainted Love,Soft Cell,1981,58E1XVmZTODC67YNjneuXM
1059,Road To Nowhere,Talking Heads,1985,5gS8whHdcpbkdz0qonQZF8
1060,Beautiful People,Melanie,1969,4rMCvdNWp9IvvDJYyUfxyl
1061,Nergens Goed Voor,De Dijk,1989,1Dr8Wa2OJt8gU1yJBloU5A
1062,Can't Hold Us,Macklemore & Ryan Lewis ft. Ray Dalton,2012,3bidbhpOYeV4knp8AIu8Xn
1063,Non Non Rien N'A Change,Les Poppys,1971,2qLXVZgaozltAMxgKFFXbU
1064,Animals,Martin Garrix,2013,1TWfkGrhF7ob0nwB2M6knb
1065,Alors On Danse,Stromae,2010,6uFreJoeTZVC7MgC7B6rF1
1066,Wannabe,Spice Girls,1996,1Je1IMUlBXcx1Fz0WE7oPT
1067,Save Me,Queen,1980,2mGEqJahn3CSyCG1BTEqMs
1068,Oh Well (Part I),Fleetwood Mac,1969,27knYMhH5mmbM5Mz9inZeD
1069,Just Say Yes,Snow Patrol,2009,7EEpVPYeW8Ycaw2SlP1u7f
1070,Is Dit Alles,Doe Maar,1982,4iUH4ksweue6iGqQUgSzhx
1071,Top Of The World,Carpenters,1973,1Ehdm1PDlKrdfyBsjwEvd1
1072,Kiss,Prince & The Revolution,1986,62LJFaYihsdVrrkgUOJC05
1073,Mercedes Benz,Janis Joplin,1970,1MntHPLU1T7a9W4tojbg8g
1074,Don't Stop 'Til You Get Enough,Michael Jackson,1979,2tvrkU9H5JwdgFEpK3lX17
1075,L.A. Song,Beth Hart,1999,69pBTbnLue0leYUCMAFqPj
1076,I'm Not So Tough,Ilse DeLange,1998,0QlDzeI31sMoBzGAyB0Olm
1077,Smooth Operator,Sade,1984,3XEtw7t4V5sfd2vtkp0ql7
1078,Ruby Tuesday,The Rolling Stones,1967,4hupcimlg3UBbW1kAQ6vrT
1079,Carry On Wayward Son,Kansas,1976,4DMKwE2E2iYDKY01C335Uw
1080,You Can't Hurry Love,Phil Collins,1982,4YwbSZaYeYja8Umyt222Qf
1081,My Heart Will Go On,Céline Dion,1998,33LC84JgLvK2KuW43MfaNq
1082,Hello,Lionel Richie,1984,0mHyWYXmmCB9iQyK18m3FQ
1083,Luv U More,DJ Paul Elstak,1995,7DlTqW16uSDT6snOEulVqj
1084,Keep On Loving You,REO Speedwagon,1981,4rcHWl68ai6KvpXlc8vbnE
1085,Two Out Of Three Ain't Bad,Meat Loaf,1977,2ph0hzV1kCVhR82E2La4q5
1086,Four Seasons In One Day,Crowded House,1992,7sDHD9tCtnPqGNTRHy0kSR
1087,Love Is A Battlefield,Pat Benatar,1984,4wYqPn3Kg3vZrkVgW2oqAG
1088,In A Lifetime,Clannad & Bono,1986,4Ye4VJlktPTaQ1mK8s6vC0
1089,Jumpin' Jack Flash,The Rolling Stones,1968,55LRDFmsuazr533WrtHHW9
1090,You say,Lauren Daigle,2019,6Up545NUflOiXo8cEraH49
1091,So Incredible,Ilse DeLange,2008,1JTSUYT2K6GUkTJzIV0Ox1
1092,Galway Girl,Ed Sheeran,2017,0afhq8XCExXpqazXczTSve
1093,Hymn For The Weekend,Coldplay,2015,3RiPr603aXAoi4GHyXx0uy
1094,Kan Ik Iets Voor Je Doen?,De Dijk,2011,3pnlCbbVOYTvpHFT6QHOgh
1095,Frozen,Madonna,1998,2II03llydk4YnkBBvoYB3B
1096,Watskeburt,De Jeugd Van Tegenwoordig,2005,2Oaq2Q6JFS1xIXGL9TVryY
1097,Love Me Tender,Elvis Presley,1956,1bZdOnI0GIcB2xqQqQH7DY
1098,Behind Blue Eyes,Limp Bizkit,2004,1MTQHCpraD4S8g5PAFKzoj
1099,The Eve Of The War,Jeff Wayne,1978,7A2AVYAYNNHC7KHTx3szsY
1100,In A Gadda Da Vida,Iron Butterfly,1970,41TqRBgF4Ahyr4vGmZVk8b
1101,'N Beetje Verliefd,André Hazes,1981,4rPf4esckke3QfLDEpbERX
1102,Gaia,Valensia,1993,7DGLCAl6rlruZgJamCBj7A
1103,Lover Of The Light,Mumford & Sons,2012,48dghEx4vhyQQfFLwxPfHD
1104,Cocaine,Eric Clapton,1978,3ykSdTGmYPFl8pDBXer1zG
1105,Autobahn,Kraftwerk,1975,31uidLEHAcF8Cw1cX1VCS8
1106,Calypso,John Denver,1975,2eD5bmknmcojiCxoKpvVTI
1107,Killer / Papa Was A Rollin' Stone,George Michael,1993,3EMwCbvaeyWVZb3ae0roHt
1108,Undisclosed Desires,Muse,2009,0It6VJoMAare1zdV2wxqZq
1109,I Wish It Would Rain Down,Phil Collins,1990,4F2t297QK40XFcIHqkmLHs
1110,Nine Million Bicycles,Katie Melua,2005,470UOQDSTMTBEgkBaeqVN6
1111,Get Back,The Beatles,1969,4MLBqAEzNN89o2M9h92Z26
1112,New York State Of Mind,Billy Joel,1976,6yjKlmm7vOszkXEUku1EM1
1113,Someone You Loved,Lewis Capaldi,2019,7qEHsqek33rTcFNT9PFqLf
1114,Michelle,The Beatles,1966,5By7Pzgl6TMuVJG168VWzS
1115,Woman In Love,Barbra Streisand,1980,1pTGc8pwyo6xtgXBKCBcFn
1116,Banger Hart,Rob De Nijs,1996,3eRhHRdaLV8aJKcFoCcr3y
1117,Wanted (Dead Or Alive),Bon Jovi,1987,0oerlffJSzhRVvtDfLcp3N
1118,Driver's Seat,Sniff 'n The Tears,1980,043DDFAWsTNPxgV7VvGfqp
1119,About A Girl (Unplugged),Nirvana,1993,48YkpE5enOln5c7jXSTuHL
1120,Heaven For Everyone,Queen,1995,1gZisUSub74637T2rJmimh
1121,Let's Go Crazy,Prince,1984,0QeI79sp1vS8L3JgpEO7mD
1122,San Quentin,Johnny Cash,1969,6oITpHnMfc7R7wTLGvrjWD
1123,When Love Comes To Town,U2 & BB King,1989,2cpUudtTX7OU6DcoNTuxwB
1124,Eloise,Barry Ryan,1968,1svB1gR5yFsNgoBxRevt3n
1125,The Man Who Sold The World,David Bowie,1970,4mWahKerLaVddUjb8d1Q4Q
1126,The Wild Rover,The Dubliners,1964,6K9cjIloubdwJxwxrDcETI
1127,Fake Plastic Trees,Radiohead,1995,045sp2JToyTaaKyXkGejPy
1128,The Unforgiven III,Metallica,2008,6guXhXMAHU4QYaEsobnS6v
1129,Zing Voor Me,Lange Frans & The Lau,2010,0po63MOolcaeLX1wyhvTH9
1130,Why Worry,Dire Straits,1995,4Yy5d21CJvXQ8cOuaTiCRD
1131,21 Guns,Green Day,2009,64yrDBpcdwEdNY9loyEGbX
1132,Ich Bin Wie Du,Marianne Rosenberg,1976,5ZIwhaTKGjxXMfvKO9EVXU
1133,Honky Tonk Women,The Rolling Stones,1969,3RZMzCvYsmJ0u2ioKTOsmJ
1134,Pamela,Toto,1988,3LFdvM7nIV8t02zyhYLvJo
1135,If You Don't Know Me By Now,Simply Red,1989,1nlPuhgsLucwgM8vqujlti
1136,True Colors,Cyndi Lauper,1986,2A6yzRGMgSQCUapR2ptm6A
1137,You're The Voice,John Farnham,1987,5NwkWwfRJaT55hEPtCmJHx
1138,Do They Know It's Christmas,Band Aid,1984,0247StOpd3AkeBQzANX4Zf
1139,Words,Bee Gees,1968,07PIhdmyYIw8dMeDMsx9FU
1140,Deutschland,Rammstein,2019,1T8IRUJBga0JXioJZvxjBR
1141,Orinoco Flow (Sail Away),Enya,1988,43SLVoulV6PzQnpaykYPlN
1142,Adventure Of A Lifetime,Coldplay,2015,69uxyAqqPIsUyTO8txoP2M
1143,Memory,Barbra Streisand,1982,0I3cUqffwmH2mMUHIfpC0l
1144,Listen To Your Heart,Roxette,1989,78TnMTAFmWUWWCgNXR7D3K
1145,London Calling,The Clash,1979,5jzma6gCzYtKB1DbEwFZKH
1146,Candy,Iggy Pop & Kate Pierson,1990,6sFpmdsk4UDMcDWdy4T1Kc
1147,I Will Always Love You,Dolly Parton,1983,6nRvgo4ySezQKD1D7NIqAu
1148,Free Fallin',Tom Petty,1989,5tVA6TkbaAH9QMITTQRrNv
1149,School's Out,Alice Cooper,1972,5Z8EDau8uNcP1E8JvmfkZe
1150,Born On The Bayou,Creedence Clearwater Revival,1972,5bUlFE9dGh7pX93PUEVAue
1151,The Dolphin's Cry,Live,1999,6FPnecQDKOWSAKDKBAZ7ZG
1152,Sunny Days,Armin van Buuren ft. Josh Cumbee,2017,6RrUUleT9JI0KQHZYBdJMB
1153,Scarborough Fair,Simon & Garfunkel,1966,3g2fYZW5v2od8KIF7VktT0
1154,All You Need Is Love,The Beatles,1967,68BTFws92cRztMS1oQ7Ewj
1155,Wake Me Up Before You Go Go,Wham!,1984,0ikz6tENMONtK6qGkOrU3c
1156,Too Much Love Will Kill You,Brian May,1992,5c8ahMgM0oqs8Qdq1HGV20
1157,Mull Of Kintyre,Paul McCartney & Wings,1977,1WCIA0j4sJfXAj0y23XbSP
1158,Close To Me,The Cure,1985,7ABE6G4uQxbNtYgVrpBBPA
1159,On Top Of The World,Imagine Dragons,2013,6KuHjfXHkfnIjdmcIvt9r0
1160,Mad World,Michael Andrews ft. Gary Jules,2003,2lFPtcKO3aU3uijfn6vmLT
1161,Traffic,Tiësto,2003,6pqFWRuybCtxerWC7B4RgF
1162,You've Got A Friend,James Taylor,1971,69l8nFPu0LWmnoJX7YSVYc
1163,This Is Not America,David Bowie & Pat Metheny Group,1985,68Xn0WzQ1wdEFMP4R5gFW6
1164,Long As I Can See The Light,Creedence Clearwater Revival,1970,4Sk6QA0RoRqZ3Hg9TlAX4X
1165,Cry Baby,Janis Joplin,1971,3L60Vu9qmY6fg2QroRIxgi
1166,Roadhouse Blues,The Doors,1970,1Q5kgpp4pmyGqPwNBzkSrw
1167,Glory Box,Portishead,1994,3Ty7OTBNSigGEpeW2PqcsC
1168,You'll Never Walk Alone,Lee Towers,1976,47RUu9MTXDqjRi7h8Uapyz
1169,Speeltuin,Marco Borsato,1998,4PcT2hhgYrdTbJQKxlmcZS
1170,Rockin' All Over The World,Status Quo,1977,1ydpGKWD5D8tvTHWN8h58q
1171,1979,The Smashing Pumpkins,1996,5QLHGv0DfpeXLNFo7SFEy1
1172,Supermarket Flowers,Ed Sheeran,2017,4VuS959DSpr82t3qBqCrWG
1173,The Way You Make Me Feel,Michael Jackson,1987,0sKlV58cODrjxGFOyf9IXY
1174,Nightboat To Cairo,Madness,1980,2bspsdHJfZf4URZsTUMW8B
1175,Flappie,Youp van 't Hek,1981,2Nt6nn7VAKZb6UA4McHOSI
1176,Burning Heart,Vandenberg,1983,6mVJRgyXJ3eAy6EViECJyW
1177,Send Me An Angel,Scorpions,1991,1bKQ48M9onID2kbSpRy8kK
1178,Pride And Joy,Stevie Ray Vaughan,1983,1a2iF9XymafjRk56q7oCxo
1179,I Knew You Were Waiting (For Me),George Michael & Aretha Franklin,1987,58lTbZKr7XkkR4zEpoLhYH
1180,All Star,Smash Mouth,1999,3cfOd4CMv2snFaKAnMdnvK
1181,Stir It Up (live),Bob Marley & The Wailers,1979,2WKVaRAThLLvivsg1OIsNr
1182,Barracuda,Heart,1977,4KfSdst7rW39C0sfhArdrz
1183,Bigmouth Strikes Again,The Smiths,1986,2OErSh4oVVAUll0vHxdr6p
1184,Let Love Rule,Lenny Kravitz,1989,2pmN85k5m9nO1rWaCDdrNE
1185,Walking In Memphis,Marc Cohn,1991,5fgkjhICZnqFctrV0AyuQD
1186,Storm And Thunder,Earth & Fire,1971,7uzbAYvAnH49ld7ZH96jo2
1187,Dear Mr President,P!nk,2006,4YzBoxK7kh9bJqiKbFJXQz
1188,My Sweet Lord,George Harrison,1970,0qdQUeKVyevrbKhAo0ibxS
1189,Run To You,Bryan Adams,1985,2RWFncSWZEhSRRifqiDNVV
1190,Everybody's Changing,Keane,2004,5hkdfA87RZvNaxl6XiveOA
1191,Anne,Herman van Veen,1986,7orAuVnsGVZhD6BZ7LcWGl
1192,Always On My Mind,Willie Nelson,1984,2xYQTU2bbg6WVAmpY1eae4
1193,Harvest Moon,Neil Young,1991,5l9c6bJmzvftumhz4TMPgk
1194,Golden Years,David Bowie,1976,4JRem7xHp2l0kmUvt9zCKu
1195,Als Het Golft,De Dijk,2000,7hd85zDqXaTmLkpVHM6pYG
1196,Home Again,Michael Kiwanuka,2012,46EuzanXhKwIc7755wLAvS
1197,Goodbye Stranger,Supertramp,1979,67oyFnjJnn78fZP9KjeZx0
1198,Spirit Of Radio,Rush,1980,4e9hUiLsN4mx61ARosFi7p
1199,Father & Friend,Alain Clark,2008,4KW1lqgSr8TKrvBII0Brf8
1200,A Night Like This,Caro Emerald,2009,4lR79JbogJio3Vbr4fgMAN
1201,If You Tolerate This Your Children Will Be Next,Manic Street Preachers,1998,2r7y4HANK7b9KVZfz0g4Uq
1202,Red Eyes,The War On Drugs,2013,71jGGLe5VtEHjIk5dU2W3S
1203,Avalon,Roxy Music,1982,7iWIdiJlKvJ4PjFYVrWLUU
1204,Don't Go Breaking My Heart,Elton John & Kiki Dee,1976,5pKJtX4wBeby9qIfFhyOJj
1205,Disco Inferno,The Trammps,1977,22ff60cZy4APp7bzESHLR8
1206,Isn't She Lovely,Stevie Wonder,1976,6wGlAaMfyhKdEPr2zycAnN
1207,I Wish,Stevie Wonder,1977,687YZan9Gol1UVvbpUSO6Y
1208,Perhaps Love,John Denver & Placido Domingo,1981,1XeCCcv0C9vD6Z8P9E8uhG
1209,Scarlet Ribbons,The Cats,1969,6zOZUtkmDZDkZeNAVSWm26
1210,So Far Away,Dire Straits,1985,5nc33qLaxz5guW9EJ2cnIB
1211,L'amour Toujours,Gigi D'Agostino,2001,6uU7CKiD7kS496SHvcVT6c
1212,Uptown Girl,Billy Joel,1983,5zA8vzDGqPl2AzZkEYQGKh
1213,The Thrill Is Gone,B.B. King,1969,3cg0dJfrQB66Qf2YthPb6G
1214,Baggy Trousers,Madness,1980,3Sbnhrpec0ULbeWBsA6GS6
1215,The One I Love,R.E.M.,1991,2fdfsGuqb6SBX5ocoBWHUd
1216,Nederwiet,Doe Maar,1983,41X5bGfb7NIZ67jxYJDbwD
1217,Love Is A Losing Game,Amy Winehouse,2007,570ZDO2Lmh6NQChOU5xPUL
1218,Broken Wings,Mr. Mister,1986,78FHUZRbFDCG6VkRAQdFLm
1219,If You Could See Me Now,The Script,2013,4VTL9bM6qaSTsYGVianqzr
1220,50 Ways To Leave Your Lover,Paul Simon,1976,6Qb7gtV6Q4MnUjSbkFcopl
1221,Tom Traubert's Blues (Waltzing Mathilda),Tom Waits,1976,71vyz1pfzmj1MQvJYOsPlb
1222,Praying For Time,George Michael,1990,7CgRXXie9XIxVSkpKi40ID
1223,Hall Of Fame,The Script ft. Will.I.Am,2012,1HuaizyN8uL7aCrUq8Gnao
1224,Shout,Tears for Fears,1985,2gQaQUhDCNGfBVXTvxAmXQ
1225,The Boys Are Back In Town,Thin Lizzy,1976,43DeSV93pJPT4lCZaWZ6b1
1226,Hedonism,Skunk Anansie,1997,625QR3rZtbYlpKm2JisGab
1227,A Thing Called Love,Johnny Cash,1972,4Zy3y23RJDQEohBZFu94v1
1228,Epic,Faith No More,1989,4ReyTz0y3TGkX48wO3Llot
1229,Walking On The Moon,The Police,1979,62uLNJgVZaFiEiKV4LpoYJ
1230,I Heard It Through The Grapevine,Marvin Gaye,1969,1tqT6DhmsrtQgyCKUwotiw
1231,Sexual Healing,Marvin Gaye,1982,3VZmChrnVW8JK6ano4gSED
1232,"He Ain't Heavy, He's My Brother",The Hollies,1969,41iPmvB2ogl3dzEHw9EZh0
1233,"Comptine D'un Autre Ete, L'Apres Midi (Amelie)",Yann Tiersen,2001,4O2N861eOnF9q8EtpH8IJu
1234,Thank God I'm A Country Boy,John Denver,1975,69HICMmc6nNLucAx3aJX9M
1235,Hilversum 3,Herman van Veen,1984,5Q70jnVvbdmJMnGEVTeRTy
1236,Feeling Good,Nina Simone,1965,6Rqn2GFlmvmV4w9Ala0I1e
1237,Talk,Coldplay,2005,4wzt5Rrk3W98pHXAqutuJw
1238,Holiday,Green Day,2005,0MsrWnxQZxPAcov7c74sSo
1239,"See Me, Feel Me",The Who,1970,7HVLE4CWBQjQi3Vyiz0fbe
1240,Three Days In A Row,Anouk,2009,2D13EpeYm3hgbKQlLPchg3
1241,Shut Your Eyes,Snow Patrol,2007,2BQJVwxDZEdGvBOeWrj34g
1242,Speed Of Sound,Coldplay,2005,7clUVcSOtkNWa58Gw5RfD4
1243,You Can Leave Your Hat On,Joe Cocker,1986,1x9iOd3K1JC6tdjGZJpFgZ
1244,Dazed And Confused,Led Zeppelin,1969,6hu1f1cXSw7OAqhpSQ2zDy
1245,Why Does My Heart Feel So Bad,Moby,1999,3QMEtL9Yh1HShyxVBZobEC
1246,Feeling Good,Michael Bublé,2005,3I09LQbHS3NSU46Ly3tPpR
1247,Fairytale Of New York,Kirsty Maccoll & Pogues,1987,3VTNVsTTu05dmTsVFrmGpK
1248,When I'm Sixty-Four,The Beatles,1967,1NrbnHlR2BFREcyWXHIHip
1249,It's A Long Way There,Little River Band,1976,7vMS7xSaSUwpirgzD346Q6
1250,De Weg,Guus Meeuwis,2005,6sBxAouPmrhtuhlulmax4T
1251,The Living Years,Mike & The Mechanics,1989,7tJnjRY2js0yXtNUWE4fgF
1252,Stuck In The Middle With You,Stealers Wheel,1973,1b7LMtXCXGc2EwOIplI35z
1253,'t Dondert En 't Bliksemt,Guus Meeuwis,1998,5rgTXjUWeNTEJh578O7GCc
1254,Hungry Heart,Bruce Springsteen,1980,1KsI8NEeAna8ZIdojI3FiT
1255,Raise Your Glass,P!nk,2010,1gv4xPanImH17bKZ9rOveR
1256,Someone Somewhere In Summertime,Simple Minds,1982,4wJq75UFYtFYbMO2KBBnlw
1257,Max,Paolo Conte,1988,6KzxNL97YEyMB898RYrMCy
1258,24K Magic,Bruno Mars,2016,6b8Be6ljOzmkOmFslEb23P
1259,Crazy On You,Heart,1976,5zH710lFSLtkHbMkslLDjR
1260,How To Save A Life,The Fray,2007,5fVZC9GiM4e8vu99W0Xf6J
1261,Goodbye Yellow Brick Road,Elton John,1973,4IRHwIZHzlHT1FQpRa5RdE
1262,The Rising,Bruce Springsteen,2002,2czBvzOv3TvnyoW7Ozo7fP
1263,Moondance,Van Morrison,1970,683b4ikwa62JevCjwrmfg6
1264,Verdammt Ich Lieb' Dich,Matthias Reim,1990,1Z8qnEyqB4mAVgl8BIJYD0
1265,Vriendschap,Het Goede Doel,1983,13mvLR1T0GesAY3jhM9lAw
1266,R U Kiddin' Me,Anouk,1999,5Vw62ibIpFcjvdzANTACKE
1267,Blackstar,David Bowie,2015,0Fao855T3klV3REFRFHRF3
1268,Farewell To The Fairground,White Lies,2009,09v3dFgd3YwrD0U5gkNaTg
1269,Human Nature,Michael Jackson,1983,35lAjvsvS9k9HHuP1fjDT8
1270,Nutbush City Limits,Ike & Tina Turner,1974,1CKzlUkzUIRFWw8PV1L04J
1271,Here Without You,3 Doors Down,2004,3NLrRZoMF0Lx6zTlYqeIo4
1272,You Don't Fool Me,Queen,1996,35balOkqaPZ4IrvZtG3YNg
1273,Overture (Tommy),The Who,1969,3MT0AxH3pudGaQFNyi1RNf
1274,Binnen,Marco Borsato,1999,61xjf51dbxiAPW6456T5sj
1275,Christmas Lights,Coldplay,2010,4fzyvSu73BhGvi96p2zwjL
1276,Everytime I Think Of You,The Babys,1979,1o8f2ttHVUBD3acVOry7ZZ
1277,Il Volo,Zucchero,1996,36fYJLNnFHgCezJFMJD3NU
1278,Guilty,Barbra Streisand & Barry Gibb,1980,60mGckXEG1EzR4VmjYLfEW
1279,Water Under The Bridge,Adele,2016,4vb4mFvYsr2h6enhjJsq9Y
1280,Bird Of Paradise,Snowy White,1984,1JGW1e2tacnCgBPfRH0haY
1281,You Oughta Know,Alanis Morissette,1996,3jS7bB0oXVOwGFZn3aE5NV
1282,The Air That I Breathe,The Hollies,1974,6yLIqXX9edg1x0HZS7cZEv
1283,Une Belle Histoire/Een Mooi Verhaal,Alderliefste & Paul de Leeuw,2006,24uRI75arAbytHp6YDtnCZ
1284,Dynamite,Mud,1974,0o5c3yGV4WUoiXZbfAR34I
1285,Aanzoek Zonder Ringen,Bløf,2006,6Cc0qQpIw9Dzm9c9GSFjRt
1286,Black Velvet,Alannah Myles,1990,1KU5EHSz04JhGg3rReGJ0N
1287,Dromen Zijn Bedrog,Marco Borsato,1994,2o4iWZOFE8kkl0tK66WADw
1288,Can You Feel The Love Tonight,Elton John,1994,67HKtdqchK0rmODxsBeWT8
1289,Massachusetts,Bee Gees,1967,3o7k5Mcdi0PFAXICTqjxra
1290,Bad,Michael Jackson,1987,5lWFrW5T3JtxVCLDb7etPu
1291,Dog Days Are Over,Florence + The Machine,2009,1YLJVmuzeM2YSUkCCaTNUB
1292,Somebody Will Know Someday,Cuby & The Blizzards,1967,6FexTAOkMIMIKKOTymEZ55
