titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
I Will Wait,Mumford & Sons,2012,0Wj2iUmo89RyjJ4geu8J1s,,,,,,,,,,,,,,1149,214,434,436,531,642,498,594
Society,Eddie Vedder,2007,3bHhUEOTIbezeZ856R0BX5,,,,,,,,,,,,,,1295,1075,241,190,195,188,252,224
Boulevard Of Broken Dreams,Green Day,2004,5GorCbAP4aL0EJ16frG2hd,,,,,,,,,,,,,,1322,824,331,235,282,270,253,282
Insomnia,Faithless,1995,7gWc0QEt2hoIkMv3XxPY1T,,,,,,,,,,,,,,1332,778,346,258,226,181,310,333
Little Talks,Of Monsters And Men,2012,2ihCaVdNZmnHZWt0fvAM7B,,,,,,,,,,,,,,1418,719,996,1032,1567,1527,1790,1903
9 Crimes,Damien Rice,2006,08YEGpKt2LHJ0URCXKHEie,,,,,,,,,,,,,,1492,943,308,288,273,329,534,706
Jeremy,Pearl Jam,1991,62nQ8UZVqR2RMvkJHkcO2o,,,,,,,,,,,,,,1497,602,196,195,155,136,156,158
Happiness,Jonathan Jeremiah,2011,5GEs6KYkV9bzN4HZr6rcRQ,,,,,,,,,,,,,,1509,1229,1503,768,1207,1265,1070,1414
As,George Michael & Mary J. Blige,1999,7r3KzVwHtr2iMZtqJvFn9A,,,,,,,,,,,,,,1553,1734,,,,1690,1356,1419
Mag Ik Dan Bij Jou,Claudia De Breij,2011,0iYDkElqY6uu0aw8CzOttm,,,,,,,,,,,,,,1565,472,19,4,8,14,24,38
Zo Stil,Bløf,2012,3ZcDSojpxWjRrKGw7GjdvT,,,,,,,,,,,,,,1576,852,229,240,326,301,293,291
There Is a Light That Never Goes Out,Smiths,1986,0WQiDwKJclirSYG9v5tayI,,,,,,,,,,,,,,1607,950,357,492,597,679,679,820
Niemand In De Stad,De Dijk,1990,2DBxwIlpl88ENuNlI0Q2zX,,,,,,,,,,,,,,1732,1055,749,390,356,339,395,350
Halo,Beyoncé,2010,4JehYebiI9JE8sR8MisGVb,,,,,,,,,,,,,,1750,1089,473,490,438,496,436,621
Fortunate Son,Creedence Clearwater Revival,1969,4BP3uh0hFLFRb5cjsgLqDh,,,,,,,,,,,,,,1762,1013,408,295,265,264,213,203
How To Save A Life,Fray,2007,5fVZC9GiM4e8vu99W0Xf6J,,,,,,,,,,,,,,1767,1213,811,582,801,981,1162,1260
Lithium,Nirvana,1991,2YodwKJnbPyNKe8XXSE9V7,,,,,,,,,,,,,,1818,957,208,224,252,246,232,265
A Change Is Gonna Come,Sam Cooke,1964,0KOE1hat4SIer491XKk4Pa,,,,,,,,,,,,,,1830,964,883,847,1092,1123,1300,1443
Here Without You,3 Doors Down,2004,3NLrRZoMF0Lx6zTlYqeIo4,,,,,,,,,,,,,,1862,1147,531,594,725,803,1051,1271
Little Wing,Jimi Hendrix Experience,1969,1Eolhana7nKHYpcYpdVcT5,,,,,,,,,,,,,,1901,1070,454,523,635,694,680,806
Groot Hart,De Dijk,1985,4t3R9MpJBYXHVYvGCYX4Im,,,,,,,,,,,,,,1905,1153,855,496,451,475,559,468
God Is A DJ,Faithless,2004,1pUFYb9peWkK8m1WCKNRjp,,,,,,,,,,,,,,1911,1192,470,391,335,288,453,469
Redemption Song,Bob Marley & The Wailers,1980,26PwuMotZqcczKLHi4Htz3,,,,,,,,,,,,,,1931,666,250,192,213,271,350,369
Not An Addict,K's Choice,1996,38TozZBUSqO5HA4ya6OxZr,,,,,,,,,,,,,,1972,885,637,536,431,464,751,719
Oceaan,Racoon,2012,3yA0XFSeJT1F0VVdDwbP5O,,,,,,,,,,,,,,,33,21,21,24,24,28,34
Get Lucky,Daft Punk ft. Pharrell Williams,2013,0xsbXkZVyTtqL64TRqoMLt,,,,,,,,,,,,,,,357,174,265,317,480,782,987
Birds,Anouk,2013,5FYmx75rnDhzgOT513vvDa,,,,,,,,,,,,,,,398,213,378,470,459,463,507
Diamonds,Rihanna,2012,1z9kQ14XBSN0r2v6fx4IdG,,,,,,,,,,,,,,,559,1057,1291,1722,1742,1492,1804
Blurred Lines,Robin Thicke ft. T.I. & Pharrell,2013,7MaG3MV913ycofT3XDcMjd,,,,,,,,,,,,,,,571,674,997,1543,,1786,1894
Happy,Pharrell Williams,2013,60nZcImufyMA1MKQY3dcCH,,,,,,,,,,,,,,,587,25,111,159,226,378,474
Just Give Me A Reason,Pink ft. Nate Ruess,2012,1mKXFLRA179hdOWQBwUk9e,,,,,,,,,,,,,,,590,494,606,562,928,613,585
All Of Me,John Legend,2013,3U4isOIWM3VvDubwSI3y7a,,,,,,,,,,,,,,,634,74,124,197,241,400,375
Dat ik je Mis,Maaike Ouboter,2013,5YYeOieVKYk5fH0dtqZvpp,,,,,,,,,,,,,,,819,140,106,167,195,308,337
Another Love,Tom Odell,2012,7otCGmgp9h4CsR2LhwB6gt,,,,,,,,,,,,,,,983,316,350,340,355,311,335
On Top Of The World,Imagine Dragons,2013,6KuHjfXHkfnIjdmcIvt9r0,,,,,,,,,,,,,,,1052,481,883,1425,1209,981,1159
Toen Ik Je Zag,Hero,1997,0PynPGqWuKWpxoAKZvRA0t,,,,,,,,,,,,,,,1091,752,653,735,707,562,576
Wake Me Up,Avicii ft. Aloe Blacc,2013,64FBGVOZbiS8Uvn0wDsWxG,,,,,,,,,,,,,,,1103,236,276,494,633,100,161
Lover Of The Light,Mumford & Sons,2012,48dghEx4vhyQQfFLwxPfHD,,,,,,,,,,,,,,,1141,761,775,949,1165,918,1103
Come Together,Beatles,1967,2EqlS6tkEnglzr7tkKAAYD,,,,,,,,,,,,,,,1156,614,520,696,638,569,441
Royals,Lorde,2013,2dLLR6qlu5UJ5gk0dKz0h3,,,,,,,,,,,,,,,1206,649,845,1415,1364,1405,1554
This Is What It Feels Like,Armin van Buuren ft. Trevor Guthrie,2013,5GjnIpUlLGEIYk052ISOw9,,,,,,,,,,,,,,,1243,146,184,325,454,337,368
Waves,Mr. Probz,2013,5Sf3GyLEAzJXxZ5mbCPXTu,,,,,,,,,,,,,,,1245,63,293,644,778,953,791
Hey Brother,Avicii,2013,4RXpgGM7A4Hg7cFBoH5KyF,,,,,,,,,,,,,,,1253,339,416,751,841,234,348
Give Me Love,Ed Sheeran,2012,0SuG9kyzGRpDqrCWtgD6Lq,,,,,,,,,,,,,,,1261,226,576,914,903,933,1533
Formidable,Stromae,2013,382n05RtneO3ykQlFQrAd1,,,,,,,,,,,,,,,1314,32,92,143,200,296,234
Hall Of Fame,The Script ft. Will.I.Am,2012,1HuaizyN8uL7aCrUq8Gnao,,,,,,,,,,,,,,,1330,722,942,1270,1450,1322,1223
Narcotic,Liquido,1998,1H5VQuShs4qfwBXyHF0PeH,,,,,,,,,,,,,,,1344,773,588,664,611,553,429
Pompeii,Bastille,2013,3gbBpTdY8lnQwqxNCcf795,,,,,,,,,,,,,,,1353,247,392,367,570,632,746
Stay,Rihanna ft. Mikky Ekko,2013,2VwgRgBXWPvYZh0j8PLxNV,,,,,,,,,,,,,,,1441,707,1000,1456,1778,1441,1708
Papaoutai,Stromae,2013,1QFw2xxyQtgKjlrMCEqsNj,,,,,,,,,,,,,,,1470,191,314,488,517,476,536
Red Mij Niet,Maarten van Roozendaal,2001,0Z5XdXJas7AYwn4S99MDDY,,,,,,,,,,,,,,,1521,797,855,1009,1119,1696,1937
Leave The Light On,Beth Hart,2003,3RmZDh1TTdUUZehY8wvKrF,,,,,,,,,,,,,,,1609,1195,581,433,512,361,211
Songbird,Fleetwood Mac,1977,6DrXZwTuhl5Ow4mcmSWjME,,,,,,,,,,,,,,,1620,398,399,479,515,604,589
Mirrors,Justin Timberlake,2013,4rHZZAmHpZrA3iH5zx8frV,,,,,,,,,,,,,,,1663,867,944,1099,1298,1094,1456
Try,Pink,2012,1jF7IL57ayN4Ity3jQqGu0,,,,,,,,,,,,,,,1728,675,472,600,451,533,591
Slow Dancing In A Burning Room,John Mayer,2006,2jdAk8ATWIL3dwT47XpRfu,,,,,,,,,,,,,,,1729,712,574,599,594,619,610
How You Remind Me,Nickelback,2001,0gmbgwZ8iqyMPmXefof8Yf,,,,,,,,,,,,,,,1783,592,604,848,899,839,924
Story Of My Life,One Direction,2013,4nVBt6MZDDP6tRVdQTgxJg,,,,,,,,,,,,,,,1787,809,873,1750,1984,1778,1501
Carry On Wayward Son,Kansas,1977,4DMKwE2E2iYDKY01C335Uw,,,,,,,,,,,,,,,1817,817,643,835,777,965,1079
If You Could See Me Now,The Script,2013,4VTL9bM6qaSTsYGVianqzr,,,,,,,,,,,,,,,1828,549,667,924,1051,1065,1219
The Chain,Fleetwood Mac,1977,5e9TFTbltYBg2xThimr0rU,,,,,,,,,,,,,,,1835,551,465,520,252,157,149
De Peel In Brand,Rowwen Hèze,2005,4FjY25UdDdHWSH451YhHVm,,,,,,,,,,,,,,,1846,1406,900,402,472,443,299
Home Again,Kensington,2013,3z9soRCVJ3xP0Z000ZD4S9,,,,,,,,,,,,,,,1860,180,282,414,827,771,750
Home,Dotan,2014,6oC1XkMBkTwrvcz5UbQjsm,,,,,,,,,,,,,,,,82,32,82,205,796,973
Calm After The Storm,Common Linnets,2014,3mWdxSsbIK45Brors2XWR1,,,,,,,,,,,,,,,,145,141,253,372,631,612
Shoes Of Lightning,Racoon,2013,49EZkSLAz7I6vFJdsq3aIE,,,,,,,,,,,,,,,,184,420,690,934,1122,1350
Nothing Really Matters,Mr. Probz,2014,7fWSIddv6LJG8ZXJFNVQyi,,,,,,,,,,,,,,,,246,565,1248,1783,1699,1853
Can I Play With Madness,Iron Maiden,1988,1zKbiwjKDewjVQlb1nHFRd,,,,,,,,,,,,,,,,259,208,388,394,373,420
Ordinary Love,U2,2013,5K8cyMKcnG4rx5ocW3u7OW,,,,,,,,,,,,,,,,294,447,705,831,762,866
Thinking Out Loud,Ed Sheeran,2014,34gCuhDGsG4bRPIf9bb02f,,,,,,,,,,,,,,,,328,68,125,137,220,359
Papillon,Editors,2009,5AtDUE1dzX1v962kqqMBFc,,,,,,,,,,,,,,,,352,238,243,194,214,206
In Your Arms,Chef'Special,2014,3wJmcmAh2YAfDSKQR8o1XS,,,,,,,,,,,,,,,,396,187,234,206,328,404
I See Fire,Ed Sheeran,2014,1fu5IQSRgPxJL2OTP7FVLW,,,,,,,,,,,,,,,,441,145,194,171,249,367
Scar Tissue,Red Hot Chili Peppers,1999,1G391cbiT3v3Cywg8T7DM1,,,,,,,,,,,,,,,,469,474,430,521,496,586
Learn to fly,Foo Fighters,1999,5OQsiBsky2k2kDKy2bX2eT,,,,,,,,,,,,,,,,496,306,429,377,379,440
Take Me To Church,Hozier,2014,1CS7Sd1u5tWkstBhpssyjP,,,,,,,,,,,,,,,,521,103,198,269,327,360
Stay With Me,Sam Smith,2014,5Nm9ERjJZ5oyfXZTECKmRt,,,,,,,,,,,,,,,,544,428,905,913,1398,1600
Things We Lost In The Fire,Bastille,2013,2oTdiDj4AawNeeYFz8bipG,,,,,,,,,,,,,,,,552,1026,843,1310,1593,1881
Alors On Danse,Stromae,2010,6uFreJoeTZVC7MgC7B6rF1,,,,,,,,,,,,,,,,572,797,1145,1137,1113,1065
Streets,Kensington,2014,61ks9qYaFaMxUGpYsl1BCF,,,,,,,,,,,,,,,,581,151,152,294,334,287
Smokers Outside The Hospital Doors,Editors,2007,7CPiFuM7R0Os87sl3UJqPB,,,,,,,,,,,,,,,,594,262,312,325,390,380
Wake Me Up When September Ends,Green Day,2005,3ZffCQKLFLUvYM59XKLbVm,,,,,,,,,,,,,,,,595,481,515,494,430,496
Basket Case,Green Day,1994,6L89mwZXSOwYl76YXfX13s,,,,,,,,,,,,,,,,599,463,371,359,393,370
Born Slippy,Underworld,1996,7xQYVjs4wZNdCwO0EeAWMC,,,,,,,,,,,,,,,,602,477,450,413,449,418
Nightswimming,R.E.M.,1992,6G0NzOx2jEPFsSmhr9N8Ys,,,,,,,,,,,,,,,,616,551,503,470,586,648
Otherside,Red Hot Chili Peppers,2003,64BbK9SFKH2jk86U3dGj2P,,,,,,,,,,,,,,,,658,522,554,591,578,601
A Sky Full Of Stars,Coldplay & Avicii,2014,0FDzzruyVECATHXKHFs9eJ,,,,,,,,,,,,,,,,667,198,220,263,146,146
Breaking The Habit,Linkin Park,2004,4HcDu9IGRCvSTJE4yW5Ugv,,,,,,,,,,,,,,,,704,578,882,398,483,569
Song 2,Blur,1997,1FTSo4v6BOZH9QxKc3MbVM,,,,,,,,,,,,,,,,706,639,513,589,744,877
Teardrop,Massive Attack,1998,67Hna13dNDkZvBpTXRIaOJ,,,,,,,,,,,,,,,,716,607,608,534,520,641
Here I Go Again,Whitesnake,1987,1qOU8KzFifXE9YrgjVwYvc,,,,,,,,,,,,,,,,734,655,645,528,657,774
Counting Stars,One Republic,2013,6sy3LkhNFjJWlaeSMNwQ62,,,,,,,,,,,,,,,,747,730,1299,1541,1665,1692
Sterrenstof,De Jeugd Van Tegenwoordig,2010,4PW9WvbhNlrFoThvc7zheh,,,,,,,,,,,,,,,,762,387,287,258,145,164
Let Me Entertain You,Robbie Williams,1998,76SFcrLi5d60pHrzfvSjsJ,,,,,,,,,,,,,,,,768,656,712,802,847,870
Strong,London Grammar,2014,0QMK2WVjKy3iKdqajgDB1P,,,,,,,,,,,,,,,,772,457,665,452,499,570
Breakeven,The Script,2008,38xWaVFKaxZlMFvzNff2aW,,,,,,,,,,,,,,,,803,937,1292,1492,1504,1541
Motorcycle Emptiness,Manic Street Preachers,1992,61dhQ6Mc3H66zxx1hBdeoI,,,,,,,,,,,,,,,,821,725,641,586,843,881
When I Was Your Man,Bruno Mars,2013,0nJW01T7XtvILxQgC5J7Wh,,,,,,,,,,,,,,,,834,1103,1051,1177,1035,1382
Fake Plastic Trees,Radiohead,1995,045sp2JToyTaaKyXkGejPy,,,,,,,,,,,,,,,,843,866,836,780,1046,1127
Disarm,Smashing Pumpkins,2003,6YIggUJW3ttAAPRdnki8RM,,,,,,,,,,,,,,,,853,824,906,866,850,939
Diamonds,Boxer Rebellion,2013,7oOVGPwNmB8JVoBhWlTdht,,,,,,,,,,,,,,,,871,662,480,486,576,510
No One Knows,Queens Of The Stone Age,2002,6NvRxjfYkkT2SpirAlmsjH,,,,,,,,,,,,,,,,893,168,238,210,224,268
Firestarter,Prodigy,1996,1GTPxha6U7x9ElVxkQw3OK,,,,,,,,,,,,,,,,901,913,1018,1096,935,725
Titanium,David Guetta & Sia,2011,4X54FzF8cMJVMdMTpg79zE,,,,,,,,,,,,,,,,910,794,1008,1189,801,887
Glory Box,Portishead,1994,3Ty7OTBNSigGEpeW2PqcsC,,,,,,,,,,,,,,,,913,1050,1195,1155,1165,1167
The Blower's Daughter,Damien Rice,2004,4B2lJinAkeNLSJjcq3dg8Q,,,,,,,,,,,,,,,,915,994,1090,1350,1702,1954
No Surprises,Radiohead,1997,1bSpwPhAxZwlR2enJJsv7U,,,,,,,,,,,,,,,,916,837,797,725,925,895
Self Esteem,Offspring,1995,6EsBn1Md8C5YdbCzvwvZq8,,,,,,,,,,,,,,,,937,805,826,966,772,846
Shape Of My Heart,Sting,1993,6CKoWCWAqEVWVjpeoJXyNH,,,,,,,,,,,,,,,,950,1005,1109,1047,888,831
One More Time,Daft Punk,2000,0DiWol3AO6WpXZgp0goxAV,,,,,,,,,,,,,,,,959,652,866,957,1160,1428
If You Tolerate This Your Children Will Be Next,Manic Street Preachers,1998,2r7y4HANK7b9KVZfz0g4Uq,,,,,,,,,,,,,,,,999,622,747,794,1027,1201
Good Riddance (Time Of Your Life),Green Day,1997,6ORqU0bHbVCRjXm9AjyHyZ,,,,,,,,,,,,,,,,1003,744,770,806,738,785
Magic,Coldplay,2014,23khhseCLQqVMCIT1WMAns,,,,,,,,,,,,,,,,1027,438,734,869,668,729
Porcelain,Moby,1999,3cYgOAFB1HAUhC7b7U8viI,,,,,,,,,,,,,,,,1028,928,908,902,893,1002
Do I Wanna Know,Arctic Monkeys,2013,5FVd6KXrgO9B3JPmC8OPst,,,,,,,,,,,,,,,,1029,196,297,337,285,324
Budapest,George Ezra,2014,7q0aQpiLv5tIsupcgQ3Ny4,,,,,,,,,,,,,,,,1053,905,1421,1686,1061,1340
Babel,Mumford & Sons,2013,0hm8rgOY17z7kQJlqGKbu7,,,,,,,,,,,,,,,,1061,1130,1229,1620,1305,1535
The Dolphin's Cry,Live,1999,6FPnecQDKOWSAKDKBAZ7ZG,,,,,,,,,,,,,,,,1088,1175,1262,1010,1071,1151
Remedy,Black Crowes,1992,217a9W3cZ3ur40RFQW2pTo,,,,,,,,,,,,,,,,1094,1157,1110,997,1317,1334
Demons,Imagine Dragons,2014,3LlAyCYU26dvFZBDUIMb7a,,,,,,,,,,,,,,,,1112,372,535,445,323,437
Around The World,Daft Punk,1997,1pKYYY0dkg23sQQXi0Q5zN,,,,,,,,,,,,,,,,1138,854,1050,1213,1618,1911
A Ton Of Love,Editors,2013,7aFAM7XDfFmCJEDuEGhRK3,,,,,,,,,,,,,,,,1164,1153,1359,1359,1397,1761
Radioactive,Imagine Dragons,2012,4G8gkOterJn0Ywt6uhqbhp,,,,,,,,,,,,,,,,1169,287,432,311,191,310
Mr. Brightside,The Killers,2005,7oK9VyNzrYvRFo7nQEYkWN,,,,,,,,,,,,,,,,1175,305,244,178,178,185
1979,Smashing Pumpkins,1996,5QLHGv0DfpeXLNFo7SFEy1,,,,,,,,,,,,,,,,1178,1174,1135,1022,908,1171
Superheroes,The Script,2014,37sINbJZcFdHFAsVNsPq1i,,,,,,,,,,,,,,,,1224,806,1442,1734,1506,1577
Why Does My Heart Feel So Bad,Moby,1999,3QMEtL9Yh1HShyxVBZobEC,,,,,,,,,,,,,,,,1248,1144,1295,1064,1230,1245
Run To The Water,Live,2000,3QdgPYfiUciRm2IbgirVta,,,,,,,,,,,,,,,,1270,1354,1351,1331,1595,1491
Zing Voor Me,Lange Frans & Thé Lau,2010,0po63MOolcaeLX1wyhvTH9,,,,,,,,,,,,,,,,1276,642,1039,1167,1054,1129
Just The Way You Are,Bruno Mars,2010,7BqBn9nzAq8spo5e7cZ0dJ,,,,,,,,,,,,,,,,1278,1620,1227,1344,1328,1556
Angel Of Harlem,U2,1988,7iBav4v8maicL8cWKGxFhQ,,,,,,,,,,,,,,,,1316,1275,1374,1409,1498,1476
Little Black Submarines,Black Keys,2012,1PXsUXSM3LF2XNSkmIldPb,,,,,,,,,,,,,,,,1318,801,427,442,554,567
Send Me An Angel,Scorpions,1991,1bKQ48M9onID2kbSpRy8kK,,,,,,,,,,,,,,,,1327,1266,1331,1408,1254,1177
Family Portrait,Pink,2003,6VD5vEK2wVfTG7q84pJ6EO,,,,,,,,,,,,,,,,1352,1279,1367,1028,1117,1486
If I Were A Boy,Beyoncé,2008,26NX1wPt1TRCH536yocd6i,,,,,,,,,,,,,,,,1358,1504,1416,1415,1048,1549
Beautiful Goodbye,Amanda Marshall,1995,6xqOFLDbyiXJ8FJA3mBDC8,,,,,,,,,,,,,,,,1378,1201,1473,1444,1494,1817
Hedonism,Skunk Anansie,1997,625QR3rZtbYlpKm2JisGab,,,,,,,,,,,,,,,,1417,1454,1154,1164,1064,1226
We Come 1,Faithless,2001,7reoZz80hQYuWtEn0Lsd0p,,,,,,,,,,,,,,,,1424,1244,1280,1179,1510,1608
All For Nothing,Kensington,2014,5uC8a9FxdqJ59XHjzdibCf,,,,,,,,,,,,,,,,1428,231,442,807,982,886
Hey Ya!,Outkast,2004,2PpruBYCo4H7WOBJ7Q2EwM,,,,,,,,,,,,,,,,1429,1249,1249,1113,1362,1567
Out Of Space,Prodigy,1993,3CL3PBAaY6l0ZuQ3EDw4cl,,,,,,,,,,,,,,,,1433,1631,,,1915,1586
R U Kiddin' Me,Anouk,1999,5Vw62ibIpFcjvdzANTACKE,,,,,,,,,,,,,,,,1452,1299,1587,1560,1262,1266
Cry Me A River,Justin Timberlake,2002,7Lf7oSEVdzZqTA0kEDSlS5,,,,,,,,,,,,,,,,1462,1146,1312,1577,1295,1802
The Day After Tomorrow,Saybia,2002,6ibUMABVFes5UDfhdtB5s9,,,,,,,,,,,,,,,,1465,1158,1395,1316,1698,1926
Diane,Therapy?,1995,6CxCwEaodZUnoP4PCghYzC,,,,,,,,,,,,,,,,1466,1734,1749,1395,1500,1584
Gangsta's Paradise,Coolio,1995,7lQWRAjyhTpCWFC0jmclT4,,,,,,,,,,,,,,,,1467,1121,1302,1281,845,963
Master Of puppets,Metallica,1986,54bm2e3tk8cliUz3VSdCPZ,,,,,,,,,,,,,,,,1470,1140,109,93,89,85
Ace Of Spades,Motörhead,1980,6EPRKhUOdiFSQwGBRBbvsZ,,,,,,,,,,,,,,,,1474,896,156,190,226,209
"Tonight, Tonight",Smashing Pumpkins,1995,7bu0znpSbTks0O6I98ij0W,,,,,,,,,,,,,,,,1517,1758,1777,1770,1716,1778
I Surrender,Saybia,2004,6TMLUWtrSoTNFo7viirKh3,,,,,,,,,,,,,,,,1528,1389,1590,1540,1979,1940
You Don't Fool Me,Queen,1996,35balOkqaPZ4IrvZtG3YNg,,,,,,,,,,,,,,,,1547,1564,1478,1660,1243,1272
Single Ladies (Put A Ring On It),Beyoncé,2008,5R9a4t5t5O0IsznsrKPVro,,,,,,,,,,,,,,,,1554,1683,1259,1606,1301,1520
In These Arms,Bon Jovi,1993,0vTKR5TQD03kASmEGlyDF3,,,,,,,,,,,,,,,,1559,1580,1586,1657,1511,1483
Love Rears Its Ugly Head,Living Colour,1990,5huSgTVqBdIJTFhpShJfcg,,,,,,,,,,,,,,,,1566,1623,1383,1490,1787,1810
No Rain,Blind Melon,1993,6txWz9UapYHVxEd7dDIHXT,,,,,,,,,,,,,,,,1580,1806,1448,1434,1814,1994
Chop Suey!,System Of A Down,2001,2DlHlPMa4M17kufBvI2lEN,,,,,,,,,,,,,,,,1582,922,237,174,200,214
Crazy In Love,Beyoncé & Jay-Z,2002,5IVuqXILoxVWvWEPm82Jxr,,,,,,,,,,,,,,,,1604,1807,1570,1947,1245,1553
The Drugs Don't Work,The Verve,1997,04n58UcRgAOhcpJAHp9SgT,,,,,,,,,,,,,,,,1612,1475,1573,1477,1599,1764
Jungleland,Bruce Springsteen,1975,3R2q3FCnNIw2XhuEbYtYk6,,,,,,,,,,,,,,,,1634,688,560,693,785,717
Hier,Bløf,2000,4H4StIAv5eeuZFLt4alrYB,,,,,,,,,,,,,,,,1653,1459,1781,1854,1649,1758
Hard To Handle,Black Crowes,1990,05NYcsjJwOYq4jIiKPVj9p,,,,,,,,,,,,,,,,1660,1928,1635,1634,1881,1915
Dichterbij Dan Ooit,Bløf,2001,7GUINjT9Hi5zxqL4MgVtwY,,,,,,,,,,,,,,,,1668,1896,1972,1938,1818,1875
Praise You,Fatboy Slim,1998,21RDsw7wzUJNl2FbWTgEfJ,,,,,,,,,,,,,,,,1695,1646,1397,1465,1730,1874
Times Are Changing,Di-rect,2009,7dkxB8qm2goT2KSpnDrG8Q,,,,,,,,,,,,,,,,1724,1288,1330,1319,1536,1373
Maybe Tomorrow,Stereophonics,2003,6SXy02aTZU3ysoGUixYCz0,,,,,,,,,,,,,,,,1747,1647,970,1275,1584,1723
Virtual Insanity,Jamiroquai,1996,47W6YR93MPCGLEUReLMyDm,,,,,,,,,,,,,,,,1755,1600,1682,1618,1653,1762
Sexy Als Ik Dans,Nielson,2014,126fRzagfqQvb3qrYVUV9T,,,,,,,,,,,,,,,,1758,876,1065,1608,1693,1715
Walk This Way,Run DMC ft. Aerosmith,1986,6qUEOWqOzu1rLPUPQ1ECpx,,,,,,,,,,,,,,,,1760,1805,1910,1641,1281,1444
Mysterious Ways,U2,1991,50JK22El2PTIzZBU2liLDI,,,,,,,,,,,,,,,,1775,1693,1954,1900,1908,1893
When I Come Around,Green Day,1995,1Dr1fXbc2IxaK1Mu8P8Khz,,,,,,,,,,,,,,,,1794,1552,1763,1650,1563,1469
Original Sin,Inxs,1984,3STinUpwNebQI95obNB738,,,,,,,,,,,,,,,,1796,1866,1955,1655,1868,1904
Sonne,Rammstein,2001,4w3R0GZ2rScJMKlgPJzHRq,,,,,,,,,,,,,,,,1828,947,187,182,168,147
Here Comes The Rain Again,Eurythmics,1983,78RIER8V6EhrqVPOBi2GYa,,,,,,,,,,,,,,,,1834,,,,1911,1772
Estranged,Guns N' Roses,1994,3s03nrUInN3NAVjQtmnS0O,,,,,,,,,,,,,,,,1867,1226,566,391,416,403
Promises Of No Man's Land,Blaudzun,2014,5IaceLtbCqn58g5Vhuh3Hr,,,,,,,,,,,,,,,,1873,906,1212,1242,1460,1865
Man Down,Rihanna,2011,454h9zAIuTe1eJyw9iTnj4,,,,,,,,,,,,,,,,1907,1965,,,1680,1673
Firth Of Fifth,Genesis,1973,6UpMG6BDOd5xecMTu5r3sj,,,,,,,,,,,,,,,,1928,1110,484,476,729,688
We Didn't Start The Fire,Billy Joel,1989,3Cx4yrFaX8CeHwBMReOWXI,,,,,,,,,,,,,,,,1934,1779,1819,1762,1714,1421
Du Hast,Rammstein,1997,6uEvFCaOqXyEidoO8BZbyh,,,,,,,,,,,,,,,,1935,1006,160,162,165,132
P.Y.T. (Pretty Young Thing),Michael Jackson,1982,5lA3pwMkBdd24StM90QrNR,,,,,,,,,,,,,,,,1950,1750,1844,1858,1197,1698
Pretty Fly (For A White Guy),Offspring,1999,7rdU5ydslpvJjW11NqAAEZ,,,,,,,,,,,,,,,,1963,1544,,,1841,1781
High And Dry,Radiohead,1995,5jafMI8FLibnjkYTZ33m0c,,,,,,,,,,,,,,,,1984,1765,1818,1829,1813,1959
Hello,Adele,2015,4sPmO7WMQUAf45kwMOtONw,,,,,,,,,,,,,,,,,23,72,122,150,213
Iron Sky,Paolo Nutini,2014,5EpP1lwkAnOAKbfAHUNJkI,,,,,,,,,,,,,,,,,47,57,52,77,86
War,Kensington,2014,6mEl7vK6usgdsNm4QFHeEd,,,,,,,,,,,,,,,,,73,120,230,367,435
Uptown Funk!,Mark Ronson ft. Bruno Mars,2014,4dW2ft2qKOULK0ekujxUq7,,,,,,,,,,,,,,,,,206,251,477,346,492
Lose Yourself,Eminem,2002,5Z01UMMf7V1o0MzF86s6WJ,,,,,,,,,,,,,,,,,218,153,146,63,95
My Silver Lining,First Aid Kit,2014,5BkNCuxzzid0gz9sx3NNbX,,,,,,,,,,,,,,,,,274,686,733,753,929
Empire State Of Mind,Jay-Z & Alicia Keys,2009,2igwFfvr1OAGX9SKDCPBwO,,,,,,,,,,,,,,,,,328,1040,991,756,782
Supermassive Black Hole,Muse,2006,3lPr8ghNDBLc2uZovNyLs9,,,,,,,,,,,,,,,,,377,471,507,442,509
Bliss,Muse,2002,09oOhscdjOI4JzxgP9t0x3,,,,,,,,,,,,,,,,,379,411,406,434,531
The Man Who Sold The World (unplugged),Nirvana,1994,15VRO9CQwMpbqUYA7e6Hwg,,,,,,,,,,,,,,,,,442,376,403,332,321
Hometown Glory,Adele,2009,2qERBmbj9TrYbNDh9yWX9G,,,,,,,,,,,,,,,,,491,687,893,665,955
Zandloper,Typhoon,2014,4zhSfChynhB1mIneEVOr1l,,,,,,,,,,,,,,,,,514,458,662,889,932
Voodoo Child (Slight Return),Jimi Hendrix,1968,2AxCeJ6PSsBYiTckM0HLY7,,,,,,,,,,,,,,,,,533,715,817,638,859
Mooi,Marco Borsato,2015,7DBafN97VFAJjm3sMev3KG,,,,,,,,,,,,,,,,,543,477,791,777,876
Clint Eastwood,Gorillaz,2001,7yMiX7n9SBvadzox8T5jzT,,,,,,,,,,,,,,,,,567,691,600,574,765
Changes,2Pac,1998,1ofhfV90EnYhEr7Un2fWiv,,,,,,,,,,,,,,,,,585,582,691,551,715
