titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
White Rabbit,Jefferson Airplane,1970,4vpeKl0vMGdAXpZiQB2Dtd,146,104,175,155,125,155,178,199,265,172,235,287,272,284,223,239,291,301,281,318,352
Vienna,Ultravox,1981,5bzpWslrM0lY2bE5lw4DLe,147,106,136,138,152,220,272,290,387,242,220,264,349,378,359,310,366,315,322,397,419
I Want You,Elvis Costello,1986,1VN8ew9KECPqYS3sVbnZRr,148,200,289,140,161,154,160,181,239,168,285,220,297,352,302,297,406,434,465,564,712
Margherita,Marco Borsato,1996,6sj0WDZqMpF84OjTHBwjiw,149,156,152,147,142,98,131,105,160,128,129,187,175,226,289,354,228,374,471,420,459
Forever Young,Alphaville,1984,4S1VYqwfkLit9mKVY3MXoo,150,100,70,69,68,102,97,131,95,96,187,149,195,266,253,281,284,280,235,298,305
Kronenburg Park,Frank Boeijen,1985,5l0mUA4hwewx7cj8KzBGGE,151,93,133,139,119,145,132,130,162,134,159,170,230,247,230,274,289,308,237,225,189
The Logical Song,Supertramp,1979,6mHOcVtsHLMuesJkswc0GZ,152,154,198,158,252,288,342,366,422,317,453,474,421,452,319,403,363,395,354,356,286
California Dreamin',The Mamas & The Papas,1966,4s6LhHAV5SEsOV0lC2tjvJ,153,135,296,164,123,128,185,168,270,159,155,146,167,183,250,237,247,255,262,302,248
Englishman In New York,Sting,1988,4KFM3A5QF2IMcc6nHsu3Wp,154,280,272,234,219,252,322,249,332,256,331,262,260,230,194,317,242,242,240,196,207
Twilight Zone,Golden Earring,1982,3ztKHejzVoxJRKSZHFFMdJ,155,118,117,141,174,160,171,178,240,167,289,277,259,341,305,365,371,324,306,358,260
In A Gadda Da Vida,Iron Butterfly,1970,41TqRBgF4Ahyr4vGmZVk8b,156,148,333,291,148,268,307,331,372,272,387,398,500,461,558,541,638,787,772,1206,1100
Conquest Of Paradise,Vangelis,1995,5avVpUakfMHD6qGpaH26CF,157,231,251,248,190,280,356,326,366,290,357,372,313,316,396,304,362,482,497,614,651
Tell Him,Celine Dion & Barbra Streisand,1997,6HKChbfE5klrUMHo3NrqzX,158,303,273,323,506,385,375,437,477,414,748,659,856,1436,1606,1463,1659,,1354,1481,1519
Tubular Bells,Mike Oldfield,1974,7ERSQrRptZVM7q3VOdM7OL,159,178,211,257,316,302,291,291,536,332,335,336,299,346,366,416,513,680,575,747,819
Don't Dream It's Over,Crowded House,1987,0fiSpF9mvRFQWy0ca64d1g,160,220,356,332,474,436,574,655,724,555,766,757,786,1053,793,1004,1046,726,681,783,764
I Want To Know What Love Is,Foreigner,1984,1JLn8RhQzHz3qDqsChcmBl,161,221,151,200,283,173,301,285,461,271,372,374,423,591,624,471,524,394,300,403,384
Aan De Kust,Bløf,1998,7yVyTfEMnR4p1LcAbo2uiF,162,57,64,121,91,95,111,123,104,100,176,173,239,155,255,319,320,311,314,384,394
Fantasy,"Earth, Wind & Fire",1978,0Eq4BMgsdV6DkLSJfX8eBt,163,180,201,230,305,279,317,355,355,304,286,205,327,326,347,381,358,366,370,479,530
Worn Down Piano,Mark & Clark Band,1977,2tfF0ihNIYnh64wJoLhtZZ,164,78,66,59,72,81,64,73,83,72,95,80,127,107,125,112,136,216,275,289,274
The Boxer,Simon & Garfunkel,1969,76TZCvJ8GitQ2FA1q5dKu0,165,212,178,174,221,197,200,193,307,205,180,166,141,120,123,144,162,134,140,154,156
Jimmy,Boudewijn De Groot,1973,2KnUzGNwvIjGXdq6AK4SxD,166,167,138,116,141,168,163,218,260,179,375,449,506,543,541,724,696,618,721,675,638
Roll Over Lay Down (Live),Status Quo,1975,2YH14o1jLDtgEih3VWeFYV,167,160,89,136,172,226,150,220,328,196,295,330,372,492,442,438,599,561,581,686,631
