titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,413
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,494
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,506
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,514
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,619
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,632
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,721
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,748
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,789
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,834
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,848
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,892
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,935
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1088
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1102
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1129
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1152
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1221
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1250
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1283
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1293
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1303
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1322
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1329
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1362
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1425
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1461
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1511
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1532
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1536
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1574
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1593
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1628
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1637
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1659
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1661
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1678
